name,description,url,type,usage_count
Notion API,Integrate and manage Notion databases and tasks using Notion's API.,https://smithery.ai/server/notion-api-mcp,Remote,16.79k
Stagehand,"Provides cloud browser automation capabilities using Stagehand, enabling LLMs to interact with web pages, take screenshots, and execute JavaScript in a cloud browser environment.",https://smithery.ai/server/@browserbasehq/mcp-stagehand,Remote,7.93k
Linear MCP Server,"A Model Context Protocol server for the Linear API, enabling LLM interaction with Linear issues.",https://smithery.ai/server/linear-mcp-server,Remote,15.34k
FFmpeg Video Processor,Manipulate video files effortlessly with this server. Resize videos to various resolutions and extract audio in multiple formats through simple API calls. Enhance your video processing capabilities with natural language requests using Claude Desktop integration.,https://smithery.ai/server/@bitscorp-mcp/mcp-ffmpeg,Local,15.13k
Hyperbrowser,"Scrape, extract structured data, and crawl webpages effortlessly. Enhance your applications with powerful web scraping capabilities and structured data extraction tools.",https://smithery.ai/server/@hyperbrowserai/mcp,Remote,7.31k
Aindreyway Codex Keeper,An intelligent server that provides AI assistants with curated access to the latest development documentation and best practices.,https://smithery.ai/server/@aindreyway/mcp-codex-keeper,Remote,14.60k
DuckDuckGo Search Server,Enable web search capabilities through DuckDuckGo. Fetch and parse webpage content intelligently for enhanced LLM interaction.,https://smithery.ai/server/@nickclyde/duckduckgo-mcp-server,Remote,14.41k
Playwright,Control browsers and automate web interactions seamlessly.,https://smithery.ai/server/@showfive/playwright-mcp-server,Remote,13.02k
Linear MCP Server,"Interact with Linear's API to manage issues, projects, and teams programmatically.",https://smithery.ai/server/@tiovikram/linear-mcp,Remote,12.00k
Code MCP,"Enable AI agents to seamlessly interact with VS Code, enhancing their capabilities to modify files, open projects, and check extension statuses. Streamline your development workflow by integrating AI assistance directly into your coding environment. Experience a more efficient coding process with intelligent tools at your fingertips.",https://smithery.ai/server/@block/code-mcp,Local,10.52k
ClickUp MCP Server,"Integrate ClickUp tasks with AI applications to streamline your project management. Interact with tasks, lists, and folders using natural language for efficient task handling. Enhance your productivity by automating workflows and managing tasks seamlessly within your ClickUp workspace.",https://smithery.ai/server/@windalfin/clickup-mcp-server,Remote,10.16k
Crypto Price & Market Analysis Server,Provide real-time cryptocurrency price data and market analysis.,https://smithery.ai/server/@truss44/mcp-crypto-price,Remote,9.35k
Fetch MCP Server,"Fetch web content in various formats such as HTML, JSON, plain text, and Markdown.",https://smithery.ai/server/fetch-mcp,Remote,9.10k
Sequential Thinking,Enhances problem-solving by breaking down problems into sequential steps.,https://smithery.ai/server/sequential-thinking,Remote,8.21k
Google Workspace Server,Manage your emails and calendar events programmatically through a unified interface. Interact with Gmail and Calendar APIs to automate tasks like sending emails and scheduling events effortlessly.,https://smithery.ai/server/@rishipradeep-think41/gsuite-mcp,Remote,8.16k
Google Workspace MCP Server,Interact with Gmail and Calendar APIs via MCP interface.,https://smithery.ai/server/google-workspace-server,Remote,7.55k
Mermaid Diagram Generator,Convert textual Mermaid diagram descriptions into high-quality PNG images. Enhance your AI applications with visual representations of data and processes effortlessly. Customize themes and backgrounds to fit your design needs.,https://smithery.ai/server/@peng-shawn/mermaid-mcp-server,Remote,7.52k
Airbnb Search and Listing Server,"Search for Airbnb listings and get detailed information about specific properties. Effortlessly plan your next trip with structured data and no API key required, while respecting Airbnb's guidelines.",https://smithery.ai/server/@openbnb-org/mcp-server-airbnb,Remote,7.49k
Multi-Model Advisor,Query multiple AI models simultaneously to gain diverse perspectives on your questions. Synthesize insights from various AI personas to enhance your decision-making process. Integrate seamlessly with Claude for a comprehensive advisory experience.,https://smithery.ai/server/@YuChenSSR/multi-ai-advisor-mcp,Local,7.30k
Hacker News,Fetch and parse stories from Hacker News.,https://smithery.ai/server/@pskill9/hn-server,Remote,7.18k
MySQL Server,"A Model Context Protocol (MCP) server that enables secure interaction with MySQL databases, allowing AI assistants to list tables, read data, and execute SQL queries through a controlled interface.",https://smithery.ai/server/mysql-mcp-server,Local,7.16k
Instagram Engagement Analysis,"Analyze Instagram engagement metrics, extract demographic insights, and identify potential leads from posts and accounts. Gain actionable insights to enhance your social media strategy and marketing efforts.",https://smithery.ai/server/@Bob-lance/instagram-engagement-mcp,Remote,7.13k
Markdown Downloader,"Download webpages as markdown files effortlessly. Convert web content into markdown format with a simple command, and manage your downloads with ease. Enjoy a configurable download directory and automatic date-stamped filenames for organized storage.",https://smithery.ai/server/@dazeb/markdown-downloader,Remote,7.11k
Starwind UI MCP Server,"Enhance your development experience with Starwind UI by utilizing a dedicated server that provides tools for project initialization, component management, and documentation access. Streamline your workflow with features like package manager detection and LLM data fetching, all designed to integrate seamlessly with your AI assistants.",https://smithery.ai/server/@Boston343/starwind-ui-mcp,Remote,7.07k
Wolfram Alpha,Connect to Wolfram Alpha API for computational knowledge.,https://smithery.ai/server/mcp-wolfram-alpha,Remote,6.92k
DeepView,Analyze large codebases efficiently using Gemini's extensive context window. Connect seamlessly with IDEs like Cursor and Windsurf to enhance your coding experience. Load your entire codebase from a single file and query it effortlessly.,https://smithery.ai/server/@ai-1st/deepview-mcp,Remote,6.72k
Tavily MCP Server,Enable real-time web search and data extraction capabilities.,https://smithery.ai/server/@tavily-ai/tavily-mcp,Remote,6.69k
Lunchmoney MCP Server,Interact with your Lunchmoney transactions and budgets through AI assistants.,https://smithery.ai/server/@leafeye/lunchmoney-mcp-server,Remote,6.68k
Zonos TTS Integration,Enable text-to-speech capabilities through Claude. Generate speech with support for multiple emotions and languages.,https://smithery.ai/server/@PhialsBasement/zonos-tts-mcp,Remote,6.63k
Hass-MCP,"Enable AI assistants to seamlessly interact with your Home Assistant setup. Control devices, query states, and automate tasks through guided conversations, enhancing your smart home experience. Simplify your automation management and troubleshooting with intelligent assistance.",https://smithery.ai/server/@voska/hass-mcp,Remote,6.54k
TaskManager,"Model Context Protocol server for Task Management, allowing Claude Desktop (or any MCP client) to manage and execute tasks in a queue-based system.",https://smithery.ai/server/@kazuph/mcp-taskmanager,Local,6.43k
File System,"Manage and interact with file systems seamlessly. Access, read, and manipulate files with ease, enhancing your application's capabilities. Streamline your workflows by integrating file operations directly into your processes.",https://smithery.ai/server/@bunasQ/fs,Local,6.05k
YouTube Transcript Server,"Retrieve transcripts and subtitles from YouTube videos effortlessly. Analyze content with support for multiple languages and detailed metadata, enhancing your video processing workflows.",https://smithery.ai/server/@sinco-lab/mcp-youtube-transcript,Remote,5.94k
Todoist-mcp-server-extended,"Integrate natural language task management with Todoist. Manage tasks, projects, and labels effortlessly using everyday language.",https://smithery.ai/server/@Chrusic/todoist-mcp-server-extended,Remote,5.93k
Package Version,Provides the latest stable package versions from multiple registries for LLMs.,https://smithery.ai/server/mcp-package-version,Remote,5.77k
Claude Code MCP Server,"Leverage the power of Claude Code to enhance your coding experience. Execute commands, review, fix, and test your code seamlessly with this server. Simplify your development workflow by integrating advanced code capabilities directly into your applications.",https://smithery.ai/server/@KunihiroS/claude-code-mcp-server,Local,5.77k
Perplexity Deep Research,"Enable AI assistants to perform web searches using Perplexity's Deep Research. Note: depending on the client, you might run into connection timeout depending on how long it takes to get response from deep research API. I'm exploring workarounds for this.",https://smithery.ai/server/@arjunkmrm/perplexity-deep-research,Remote,5.74k
Replicate Flux MCP,"Generate stunning images from text prompts using advanced AI models. Seamlessly integrate with your AI assistants to enhance their capabilities with high-quality image generation. Enjoy customizable parameters for tailored outputs, all processed securely and locally.",https://smithery.ai/server/@awkoy/replicate-flux-mcp,Remote,5.66k
n8n Workflow Builder,Create and manage n8n workflows programmatically.,https://smithery.ai/server/@Jimmy974/n8n-workflow-builder,Remote,5.63k
Graphlit,"Integrate MCP clients with the Graphlit service.

Ingest anything from Slack to Gmail to podcast feeds, in addition to web crawling, into a Graphlit project - and then retrieve relevant contents from the MCP client.",https://smithery.ai/server/@graphlit/graphlit-mcp-server,Remote,5.56k
Trello Server,"Interact with Trello boards and manage cards, lists, and activities.",https://smithery.ai/server/@delorenj/trello,Remote,5.18k
Figma MCP Server,"Interact seamlessly with the Figma API to manage files, comments, components, and more. Leverage a comprehensive set of tools to enhance your design workflow and automate tasks within Figma. Simplify your design processes and integrate Figma capabilities into your applications effortlessly.",https://smithery.ai/server/@thirdstrandstudio/mcp-figma,Remote,5.13k
Knowledge Graph Memory Server,"Enable your agents to remember user information across chats by utilizing a local knowledge graph. Enhance interactions by creating, updating, and retrieving personalized memories seamlessly. Experience a more engaging and tailored conversation with your AI assistant.",https://smithery.ai/server/@jlia0/servers,Local,5.10k
Game Engine Server,"Provide tools for game development and enhance sequential thinking. Access game assets, templates, and code generation to streamline your game projects. Break down complex problems and dynamically adjust your thought processes for effective problem-solving.",https://smithery.ai/server/@mahecode/game-engine-mcp,Remote,4.91k
Mixpanel Integration,"Talk to your Mixpanel analytics events data seamlessly! Query retention number, event data, funnels and more from any MCP client. Great for on-demand look ups like: ""What's the weekly retention for users in the Feb 1 cohort?""

I am adding more coverage of the Mixpanel API over time, let me know which tools you need or just open a PR.

Make sure you go to your Mixpanel Organization Settings and create a service account. Then get your project ID from your project settings.",https://smithery.ai/server/@dragonkhoi/mixpanel-mcp,Remote,4.79k
PostgreSQL Database Management Server,"Analyze, manage, and optimize your PostgreSQL databases effortlessly. Streamline your database operations with powerful tools for debugging, schema management, and data migration. Enhance performance monitoring and ensure your database runs smoothly with real-time insights and recommendations.",https://smithery.ai/server/@HenkDz/postgresql-mcp-server,Remote,4.69k
OpenRouter MCP Server,"A Model Context Protocol (MCP) server for integration with OpenRouter.ai, allowing access to various AI models through a unified interface.",https://smithery.ai/server/@mcpserver/openrouterai,Remote,4.68k
Weather,Provide real-time weather information and forecasts to your applications. Integrate weather data seamlessly to enhance user experiences and decision-making. Access accurate and up-to-date weather insights effortlessly.,https://smithery.ai/server/@turkyden/weather,Remote,4.66k
Supabase Server,An MCP server providing access to the Supabase Management API for managing Supabase projects and organizations.,https://smithery.ai/server/@joshuarileydev/supabase-mcp-server,Remote,4.54k
YouTube MCP Server,"Interact with YouTube content seamlessly. Retrieve video details, manage captions, and analyze trends to enhance your AI's capabilities. Leverage the YouTube Data API for rich, real-time insights.",https://smithery.ai/server/@icraft2170/youtube-data-mcp-server,Remote,4.31k
Tavily,An MCP server for Tavily's search API providing AI-powered web search capabilities.,https://smithery.ai/server/mcp-tavily,Remote,4.25k
Multi Fetch MCP Server,"Fetch web content in various formats and modes, seamlessly integrating with AI assistants like Claude. Utilize intelligent scraping techniques to retrieve HTML, JSON, and more, while enjoying bilingual support for English and Chinese.",https://smithery.ai/server/@lmcc-dev/mult-fetch-mcp-server,Local,4.13k
Jina AI,"Provides access to Jina AI's web services through Claude, including web page reading, web search, and fact checking.",https://smithery.ai/server/jina-ai-mcp-server,Remote,4.04k
Fetch Server,"Fetch web content in various formats like HTML, JSON, plain text, and Markdown. Easily retrieve and transform online data with custom headers for your applications. Streamline your content fetching process with a simple and efficient server setup.",https://smithery.ai/server/@goswamig/fetch-mcp,Remote,3.98k
Docx Document Processing Service,"Create, edit, and manage Word documents effortlessly using AI assistants. Streamline your document operations with natural language commands for a seamless editing experience. Enhance your productivity with powerful formatting, table processing, and layout control features.",https://smithery.ai/server/@MeterLong/mcp-doc,Local,3.93k
MCP Server Starter,Build a robust server to enable AI agents to interact with various tools.,https://smithery.ai/server/@TheSethRose/mcp-server-starter,Remote,3.79k
JigsawStack Image Generation,"Generate images from text using advanced AI models. Learn more about jigsawstack's image generation API here: https://jigsawstack.com/docs/api-reference/ai/image-generation

You can get your jigsawstack API key here: https://jigsawstack.com/dashboard/",https://smithery.ai/server/@JigsawStack/image-generation,Remote,1.88k
Notion MCP Server,"Integrate your AI assistants with Notion's API to create, update, and manage pages and blocks effortlessly. Streamline your workflow by enabling your AI to interact with Notion databases and perform batch operations. Enhance your productivity with powerful tools designed for seamless Notion integration.",https://smithery.ai/server/@awkoy/notion-mcp-server,Remote,3.73k
Feishu(飞书) Integration Server,"Access and manage Feishu(飞书) documents seamlessly with your AI tools. Create, modify, and extract content from Feishu documents to enhance your coding experience and improve efficiency. Leverage the power of AI to interact with your documents in a more intuitive way.",https://smithery.ai/server/@cso1z/feishu-mcp,Remote,3.69k
HotNews Server,A Model Context Protocol server that provides real-time hot trending topics from major Chinese social platforms and news sites.,https://smithery.ai/server/@wopal/mcp-server-hotnews,Remote,3.62k
Persistent Knowledge Graph,Enable Claude/Cursor or other AI Tools with MCP Support to remember user information across chats using a local knowledge graph.,https://smithery.ai/server/@itseasy21/mcp-knowledge-graph,Local,3.58k
UnityMCP,"Integrate AI assistants seamlessly into your Unity projects. Monitor editor states, execute commands in real-time, and manage logs efficiently to enhance your development workflow.",https://smithery.ai/server/@Arodoid/unitymcp,Local,3.57k
Airtable Server,"An Airtable Model Context Protocol Server enabling programmatic management of Airtable bases, tables, fields, and records.",https://smithery.ai/server/airtable-server,Remote,3.51k
Pandoc Document Conversion,A Model Context Protocol server for document format conversion using pandoc.,https://smithery.ai/server/mcp-pandoc,Remote,3.47k
Linear MCP Server,"Connect Claude to Linear project management systems. Retrieve, create, and manage issues and projects seamlessly.",https://smithery.ai/server/@emmett-deen/linear-mcp-server,Remote,3.47k
Serper Search and Scrape,"A TypeScript-based MCP server that provides web search and webpage scraping capabilities using the Serper API. This server integrates with Cursor, Cline, Claude Desktop, and any MCP-compatible client to enable powerful web search and content extraction features in one convenient package.",https://smithery.ai/server/@marcopesani/mcp-server-serper,Remote,3.38k
Onyx MCP Server,"Connect your MCP-compatible clients to Onyx AI knowledge bases for enhanced semantic search and chat capabilities. Retrieve relevant context from your documents seamlessly, enabling powerful interactions and comprehensive answers. Streamline knowledge management and improve access to information across your organization.",https://smithery.ai/server/@lupuletic/onyx-mcp-server,Remote,3.20k
Web Research Server,"Integrate real-time web research capabilities into your workflow. Conduct thorough research with tools for searching, content extraction, and session tracking.",https://smithery.ai/server/@chuanmingliu/mcp-webresearch,Remote,3.13k
Desktop Commander,Execute terminal commands and manage processes seamlessly. Enhance your coding workflow with powerful file editing capabilities and real-time command output streaming.,https://smithery.ai/server/@MrGNSS/claudedesktopcommander,Remote,2.87k
Gitingest MCP Server,"An MCP server for gitingest. It allows MCP clients like Claude Desktop, Cursor, Cline etc to quickly extract information about Github repositories including repository summaries, project directory structure, file contents, etc",https://smithery.ai/server/@puravparab/gitingest-mcp,Remote,2.83k
Firebase MCP Server,"Integrate Firebase services seamlessly with your AI models. Access authentication, Firestore, and storage capabilities through a standardized interface while ensuring secure operations and real-time data access.",https://smithery.ai/server/@gannonh/firebase-mcp,Remote,2.76k
Unsplash Search,A simple MCP server for searching and integrating Unsplash images into your applications with advanced filtering capabilities.,https://smithery.ai/server/@hellokaton/unsplash-mcp-server,Remote,2.59k
Excel,Read and write spreadsheet data to MS Excel files.,https://smithery.ai/server/@negokaz/excel-mcp-server,Local,2.50k
WinTerm,"Interact with the Windows command line interface programmatically. Execute commands, read outputs, and send control signals seamlessly through a standardized set of tools. Enhance your AI models' capabilities by integrating terminal interactions directly into your workflows.",https://smithery.ai/server/@capecoma/winterm-mcp,Remote,2.50k
Ableton Live Integration,"Connect Claude AI to Ableton Live for prompt-assisted music production and track manipulation. Control MIDI and audio tracks, create clips, and manage sessions seamlessly with AI assistance.",https://smithery.ai/server/@ahujasid/ableton-mcp,Local,2.50k
Web Research Server,"Bring real-time info into your conversations and easily research any topic. Utilize Google search integration, webpage content extraction, and session tracking to enhance your research capabilities. Capture screenshots and maintain a comprehensive record of your research sessions for better insights.",https://smithery.ai/server/@oneshot-engineering/mcp-webresearch,Remote,2.48k
Qdrant Server,A semantic memory layer that stores and retrieves information using the Qdrant vector search engine. It enables storing memories and finding relevant information through semantic search.,https://smithery.ai/server/mcp-server-qdrant,Remote,1.21k
File Context Server,"Enable your LLMs to read, search, and analyze code files with advanced caching and real-time file watching capabilities. Streamline your code analysis and improve quality metrics effortlessly. Enhance your development workflow with powerful file operations and smart caching features.",https://smithery.ai/server/@bsmi021/mcp-file-context-server,Remote,2.26k
Replicate,Access Replicate models and predictions.,https://smithery.ai/server/mcp-server-replicate,Remote,2.19k
Any OpenAI Compatible API Integrations,"Integrate Claude with any OpenAI SDK Compatible Chat Completion API like OpenAI, Perplexity, Groq, xAI, PyroPrompts, etc.",https://smithery.ai/server/any-chat-completions-mcp-server,Remote,2.13k
Oxylabs MCP,Fetch and process content from specified URLs using the Oxylabs Web Scraper API.,https://smithery.ai/server/@oxylabs/oxylabs-mcp,Remote,2.08k
Browser Automation Agent,"Automate browser interactions seamlessly with our agent. Leverage the power of the Model Context Protocol to enhance your web automation tasks. Experience state management, interactive element manipulation, and more for efficient browser automation.",https://smithery.ai/server/@ashley-ha/mcp-manus,Remote,2.02k
UI Flowchart Creator,Create UI flowcharts and visualize user interfaces.,https://smithery.ai/server/uiflowchartcreator,Remote,1.99k
Crypto_MCP,A Model Context Protocol (MCP) server for encrypting/decrypting/algorithm/hash,https://smithery.ai/server/@1595901624/crypto-mcp,Remote,1.99k
GitLab,Enable project management and file operations with GitLab.,https://smithery.ai/server/@smithery-ai/gitlab,Remote,1.90k
Linear,"(best in competition) Interact with Linear project management through AI assistants. Access and manage your Linear projects, issues, and teams seamlessly with AI-driven commands. Enhance your productivity by automating project management tasks effortlessly.",https://smithery.ai/server/@tacticlaunch/mcp-linear,Remote,1.87k
Azure DevOps Integration,"Seamlessly manage work items, repositories, boards, and sprints in Azure DevOps through a powerful API. Enhance your AI assistants and tools with standardized access to Azure DevOps functionalities. Streamline your development workflow and improve team collaboration with easy integration.",https://smithery.ai/server/@RyanCardin15/azuredevops-mcp,Remote,1.86k
AI 图像生成服务,"Generate high-quality images with customizable sizes and save paths. Enjoy features like automatic retries, detailed error messages, and asynchronous processing to enhance your creative projects.",https://smithery.ai/server/@chenyeju295/mcp_generate_images,Remote,1.86k
GitHub,"Enable seamless file operations, repository management, and advanced search functionalities on GitHub. Automate your workflows with automatic branch creation and comprehensive error handling, all while preserving Git history. Enhance your development experience by integrating GitHub capabilities directly into your applications.",https://smithery.ai/server/@dev-assistant-ai/github,Remote,1.85k
Metabase Integration Server,"Interact with Metabase seamlessly. Access dashboards, execute queries, and retrieve data directly from your Metabase instance, enhancing your AI assistant's capabilities.",https://smithery.ai/server/@imlewc/metabase-server,Remote,1.84k
Slack,Enable interaction with Slack workspaces.,https://smithery.ai/server/@smithery-ai/slack,Remote,1.79k
OSINT Server,Leverage powerful open-source intelligence tools to gather and analyze data from various sources. Enhance your investigations with automated data retrieval and processing capabilities. Simplify your research workflow and make informed decisions faster.,https://smithery.ai/server/@himanshusanecha/mcp-osint-server,Remote,1.73k
Contentful Management Server,"MCP server for Contentful Content Management API integration, providing full CRUD operations, space, and content-type management, do bulk operations, invoke AI-actions and authenticate using App Identities.
This MCP Server will enable you to implement a powerful agentic workflow that can do content operations on the Contentful platform",https://smithery.ai/server/@ivotoby/contentful-management-mcp-server,Remote,1.70k
NPX Fetch,"A CLI tool for fetching and processing content using the Model Context Protocol, supporting HTML, JSON, plain text, and Markdown formats.",https://smithery.ai/server/@tokenizin/mcp-npx-fetch,Remote,1.63k
Smart-Thinking,"Enhance your AI assistants with advanced multi-dimensional reasoning capabilities. Analyze thoughts, verify information, and visualize reasoning processes for better decision-making. Collaborate seamlessly with others to tackle complex problems effectively.",https://smithery.ai/server/@Leghis/smart-thinking,Remote,1.60k
YouTube Transcript Server,"Enables retrieval of transcripts from YouTube videos. Provides direct access to video captions and subtitles through a simple interface, with support for multiple languages and video URL formats.",https://smithery.ai/server/@kimtaeyoon83/mcp-server-youtube-transcript,Local,1.54k
PubMedSearch,"Search and retrieve academic papers from the PubMed database effortlessly. Access detailed information including titles, authors, journals, abstracts, and DOIs with ease. Enhance your research capabilities by integrating this server into your workflow.",https://smithery.ai/server/@gradusnikov/pubmed-search-mcp-server,Remote,1.53k
Pushover Notification,Send real-time notifications effortlessly through Pushover.net. Integrate this tool with your AI agents to keep users informed with timely alerts. Simplify your communication by automating notifications directly from your applications.,https://smithery.ai/server/@AshikNesin/pushover-mcp,Remote,1.53k
Perplexity Chat MCP Server,Request expert programming assistance through Perplexity. Streamline your coding solutions and error debugging with interactive responses.,https://smithery.ai/server/@daniel-lxs/mcp-perplexity,Remote,1.45k
Discord MCP Server,"Enable your AI assistants to seamlessly interact with Discord. Manage channels, send messages, and retrieve server information effortlessly. Enhance your Discord experience with powerful automation capabilities.",https://smithery.ai/server/@barryyip0625/mcp-discord,Remote,1.37k
Todoist Integration,Connect your LLM to interact with Todoist tasks and projects.,https://smithery.ai/server/@miottid/todoist-mcp,Remote,1.34k
React MCP,Enable Claude AI to manage and interact with React applications seamlessly.,https://smithery.ai/server/@Streen9/react-mcp,Local,1.33k
DocsFetcher,Fetch npm package documentation and present it for LLMs.,https://smithery.ai/server/@cdugo/mcp-get-docs,Remote,1.29k
Perplexity Server,MCP Server for the Perplexity API.,https://smithery.ai/server/mcp-server-perplexity,Remote,1.26k
Youtube Transcript,Retrieve transcripts of YouTube videos.,https://smithery.ai/server/@jkawamoto/mcp-youtube-transcript,Remote,1.26k
Unity MCP Integration,"Enable AI assistants to interact with your Unity projects in real-time. Access scene information, execute C# code, and monitor logs directly within the Unity Editor. Enhance your development workflow with seamless AI integration.
Also Added File Access to Give more functionality to LLM",https://smithery.ai/server/@quazaai/unitymcpintegration,Remote,1.22k
Sequential Thinking Tools,"Guide your problem-solving process by breaking down complex tasks into manageable steps. Receive intelligent tool recommendations tailored to each stage, complete with confidence scores and rationales. Enhance your decision-making with a structured approach to tackling challenges.",https://smithery.ai/server/@xinzhongyouhai/mcp-sequentialthinking-tools,Remote,1.21k
MCP Fetch,A Model Context Protocol server that provides web content fetching capabilities.,https://smithery.ai/server/@kazuph/mcp-fetch,Remote,1.20k
AutoGen Server,Create and manage AI agents that collaborate and solve problems through natural language interactions. Enable multi-agent conversations and orchestrate group chats with customizable configurations. Enhance your applications with built-in error handling and response validation for seamless communication between agents.,https://smithery.ai/server/@DynamicEndpoints/autogen_mcp,Remote,1.17k
Google Search Server,Leverage Google Custom Search to enhance your applications with powerful search capabilities. Easily integrate and retrieve search results from Google directly within your environment. Start building smarter applications that can access the vast information available on the web.,https://smithery.ai/server/@gradusnikov/google-search-mcp-server,Remote,1.10k
MySQL MCP Server,"An MCP server implementation that enables Claude AI to interact with MySQL databases. Features include secure database connections, query execution, read-only mode support, and multi-query capabilities.",https://smithery.ai/server/@burakdirin/mysqldb-mcp-server,Local,1.07k
Obsidian Omnisearch,Search through your Obsidian vault notes programmatically with ease. Integrate seamlessly with other services using a REST API to retrieve absolute paths to matching notes. Enhance your note-taking experience by leveraging powerful search capabilities.,https://smithery.ai/server/@anpigon/mcp-server-obsidian-omnisearch,Local,1.04k
ClickUp MCP Server,Integrate ClickUp tasks with AI applications.,https://smithery.ai/server/@taazkareem/clickup-mcp-server,Remote,1.03k
MySQL MCP Server,"Connect and interact with MySQL databases seamlessly. Execute SQL queries, manage database connections, and retrieve data directly through AI assistants. Enhance your AI capabilities with structured access to your MySQL data.",https://smithery.ai/server/@sussa3007/mysql-mcp,Remote,1.02k
Monday.com MCP Server,Enable interaction with Monday.com boards and items.,https://smithery.ai/server/@sakce/mcp-server-monday,Remote,1.00k
Google Maps,Provides location-based services and mapping functionality through the Google Maps Platform APIs,https://smithery.ai/server/@smithery-ai/google-maps,Remote,1.00k
Greeting,Enhance your applications with personalized greeting capabilities. Easily integrate and customize greetings to improve user engagement and experience. Leverage the power of the Model Context Protocol to create dynamic interactions effortlessly.,https://smithery.ai/server/@akaramanapp/greeting,Remote,1.00k
Mavae Image Toolbox,MAVAE IMAGE TOOLBOX is a Model Context Protocol (MCP) server for interacting with image media tools. 🚀 Image Generation | 🚀 Image Editing | 🚀 Collection Management | 🚀 Model & Lora Management,https://smithery.ai/server/@xenoailimited/mavae-image-toolbox,Remote,
DeepLucid3D UCPF Server,"Enable advanced cognitive analysis and creative problem-solving with structured cognitive tools. Assess cognitive states, generate novel perspectives, and decompose complex problems for effective solutions. Enhance your AI capabilities with a powerful framework for structured thinking.",https://smithery.ai/server/@MushroomFleet/deeplucid3d-mcp,Local,
Unity Game Engine,"Make Unity Editor more agentic, enhancing your development workflow with different MCP clients.

Add the package via the Unity Package manager and follow the README configurations",https://smithery.ai/server/@CoderGamester/mcp-unity,Local,
Advanced PocketBase Server V2,"*Updated April 2nd 2025* 
An MCP server for interacting with PocketBase databases, offering advanced database operations and schema management.",https://smithery.ai/server/pocketbase-server,Remote,
Xano MCP Server,Integrate your applications with Xano databases effortlessly. Interact with your Xano instances and manage your database structures through a simple API. Streamline your data operations and enhance your application's capabilities with ease.,https://smithery.ai/server/@roboulos/simple-xano-mcp,Remote,
Jira Context MCP,Fetch and manage Jira issues efficiently.,https://smithery.ai/server/@rahulthedevil/Jira-Context-MCP,Remote,
