url,name,description
,Hass-MCP,"Enable AI assistants to seamlessly interact with your Home Assistant setup. Control devices, query states, and automate tasks through guided conversations, enhancing your smart home experience. Simplify your automation management and troubleshooting with intelligent assistance."
,,
,TaskManager,"Model Context Protocol server for Task Management, allowing Claude Desktop (or any MCP client) to manage and execute tasks in a queue-based system."
,,
,File System,"Manage and interact with file systems seamlessly. Access, read, and manipulate files with ease, enhancing your application's capabilities. Streamline your workflows by integrating file operations directly into your processes."
,,
,YouTube Transcript Server,"Retrieve transcripts and subtitles from YouTube videos effortlessly. Analyze content with support for multiple languages and detailed metadata, enhancing your video processing workflows."
,,
,Todoist-mcp-server-extended,"Integrate natural language task management with Todoist. Manage tasks, projects, and labels effortlessly using everyday language."
,,
,Package Version,Provides the latest stable package versions from multiple registries for LLMs.
,,
,Claude Code MCP Server,"Leverage the power of Claude Code to enhance your coding experience. Execute commands, review, fix, and test your code seamlessly with this server. Simplify your development workflow by integrating advanced code capabilities directly into your applications."
,,
,Perplexity Deep Research,"Enable AI assistants to perform web searches using Perplexity's Deep Research. Note: depending on the client, you might run into connection timeout depending on how long it takes to get response from deep research API. I'm exploring workarounds for this."
,,
,Replicate Flux MCP,"Generate stunning images from text prompts using advanced AI models. Seamlessly integrate with your AI assistants to enhance their capabilities with high-quality image generation. Enjoy customizable parameters for tailored outputs, all processed securely and locally."
,,
,n8n Workflow Builder,Create and manage n8n workflows programmatically.
,,
,Graphlit,"Integrate MCP clients with the Graphlit service.

Ingest anything from Slack to Gmail to podcast feeds, in addition to web crawling, into a Graphlit project - and then retrieve relevant contents from the MCP client."
,,
,Trello Server,"Interact with Trello boards and manage cards, lists, and activities."
,,
,Figma MCP Server,"Interact seamlessly with the Figma API to manage files, comments, components, and more. Leverage a comprehensive set of tools to enhance your design workflow and automate tasks within Figma. Simplify your design processes and integrate Figma capabilities into your applications effortlessly."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Knowledge Graph Memory Server,"Enable your agents to remember user information across chats by utilizing a local knowledge graph. Enhance interactions by creating, updating, and retrieving personalized memories seamlessly. Experience a more engaging and tailored conversation with your AI assistant."
,,
,Game Engine Server,"Provide tools for game development and enhance sequential thinking. Access game assets, templates, and code generation to streamline your game projects. Break down complex problems and dynamically adjust your thought processes for effective problem-solving."
,,
,Mixpanel Integration,"Talk to your Mixpanel analytics events data seamlessly! Query retention number, event data, funnels and more from any MCP client. Great for on-demand look ups like: ""What's the weekly retention for users in the Feb 1 cohort?""

I am adding more coverage of the Mixpanel API over time, let me know which tools you need or just open a PR.

Make sure you go to your Mixpanel Organization Settings and create a service account. Then get your project ID from your project settings."
,,
,PostgreSQL Database Management Server,"Analyze, manage, and optimize your PostgreSQL databases effortlessly. Streamline your database operations with powerful tools for debugging, schema management, and data migration. Enhance performance monitoring and ensure your database runs smoothly with real-time insights and recommendations."
,,
,OpenRouter MCP Server,"A Model Context Protocol (MCP) server for integration with OpenRouter.ai, allowing access to various AI models through a unified interface."
,,
,Weather,Provide real-time weather information and forecasts to your applications. Integrate weather data seamlessly to enhance user experiences and decision-making. Access accurate and up-to-date weather insights effortlessly.
,,
,Supabase Server,An MCP server providing access to the Supabase Management API for managing Supabase projects and organizations.
,,
,YouTube MCP Server,"Interact with YouTube content seamlessly. Retrieve video details, manage captions, and analyze trends to enhance your AI's capabilities. Leverage the YouTube Data API for rich, real-time insights."
,,
,Tavily,An MCP server for Tavily's search API providing AI-powered web search capabilities.
,,
,Multi Fetch MCP Server,"Fetch web content in various formats and modes, seamlessly integrating with AI assistants like Claude. Utilize intelligent scraping techniques to retrieve HTML, JSON, and more, while enjoying bilingual support for English and Chinese."
,,
,Jina AI,"Provides access to Jina AI's web services through Claude, including web page reading, web search, and fact checking."
,,
,Fetch Server,"Fetch web content in various formats like HTML, JSON, plain text, and Markdown. Easily retrieve and transform online data with custom headers for your applications. Streamline your content fetching process with a simple and efficient server setup."
,,
,Docx Document Processing Service,"Create, edit, and manage Word documents effortlessly using AI assistants. Streamline your document operations with natural language commands for a seamless editing experience. Enhance your productivity with powerful formatting, table processing, and layout control features."
,,
,MCP Server Starter,Build a robust server to enable AI agents to interact with various tools.
,,
,JigsawStack Image Generation,"Generate images from text using advanced AI models. Learn more about jigsawstack's image generation API here: https://jigsawstack.com/docs/api-reference/ai/image-generation

You can get your jigsawstack API key here: https://jigsawstack.com/dashboard/"
,,
,Notion MCP Server,"Integrate your AI assistants with Notion's API to create, update, and manage pages and blocks effortlessly. Streamline your workflow by enabling your AI to interact with Notion databases and perform batch operations. Enhance your productivity with powerful tools designed for seamless Notion integration."
,,
,Feishu(飞书) Integration Server,"Access and manage Feishu(飞书) documents seamlessly with your AI tools. Create, modify, and extract content from Feishu documents to enhance your coding experience and improve efficiency. Leverage the power of AI to interact with your documents in a more intuitive way."
,,
,HotNews Server,A Model Context Protocol server that provides real-time hot trending topics from major Chinese social platforms and news sites.
,,
,Persistent Knowledge Graph,Enable Claude/Cursor or other AI Tools with MCP Support to remember user information across chats using a local knowledge graph.
,,
,UnityMCP,"Integrate AI assistants seamlessly into your Unity projects. Monitor editor states, execute commands in real-time, and manage logs efficiently to enhance your development workflow."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Airtable Server,"An Airtable Model Context Protocol Server enabling programmatic management of Airtable bases, tables, fields, and records."
,,
,Pandoc Document Conversion,A Model Context Protocol server for document format conversion using pandoc.
,,
,Linear MCP Server,"Connect Claude to Linear project management systems. Retrieve, create, and manage issues and projects seamlessly."
,,
,Serper Search and Scrape,"A TypeScript-based MCP server that provides web search and webpage scraping capabilities using the Serper API. This server integrates with Cursor, Cline, Claude Desktop, and any MCP-compatible client to enable powerful web search and content extraction features in one convenient package."
,,
,Onyx MCP Server,"Connect your MCP-compatible clients to Onyx AI knowledge bases for enhanced semantic search and chat capabilities. Retrieve relevant context from your documents seamlessly, enabling powerful interactions and comprehensive answers. Streamline knowledge management and improve access to information across your organization."
,,
,Web Research Server,"Integrate real-time web research capabilities into your workflow. Conduct thorough research with tools for searching, content extraction, and session tracking."
,,
,Desktop Commander,Execute terminal commands and manage processes seamlessly. Enhance your coding workflow with powerful file editing capabilities and real-time command output streaming.
,,
,Gitingest MCP Server,"An MCP server for gitingest. It allows MCP clients like Claude Desktop, Cursor, Cline etc to quickly extract information about Github repositories including repository summaries, project directory structure, file contents, etc"
,,
,Firebase MCP Server,"Integrate Firebase services seamlessly with your AI models. Access authentication, Firestore, and storage capabilities through a standardized interface while ensuring secure operations and real-time data access."
,,
,Unsplash Search,A simple MCP server for searching and integrating Unsplash images into your applications with advanced filtering capabilities.
,,
,Excel,Read and write spreadsheet data to MS Excel files.
,,
,Ableton Live Integration,"Connect Claude AI to Ableton Live for prompt-assisted music production and track manipulation. Control MIDI and audio tracks, create clips, and manage sessions seamlessly with AI assistance."
,,
,WinTerm,"Interact with the Windows command line interface programmatically. Execute commands, read outputs, and send control signals seamlessly through a standardized set of tools. Enhance your AI models' capabilities by integrating terminal interactions directly into your workflows."
,,
,Web Research Server,"Bring real-time info into your conversations and easily research any topic. Utilize Google search integration, webpage content extraction, and session tracking to enhance your research capabilities. Capture screenshots and maintain a comprehensive record of your research sessions for better insights."
,,
,Qdrant Server,A semantic memory layer that stores and retrieves information using the Qdrant vector search engine. It enables storing memories and finding relevant information through semantic search.
,,
,File Context Server,"Enable your LLMs to read, search, and analyze code files with advanced caching and real-time file watching capabilities. Streamline your code analysis and improve quality metrics effortlessly. Enhance your development workflow with powerful file operations and smart caching features."
,,
,Replicate,Access Replicate models and predictions.
,,
,Any OpenAI Compatible API Integrations,"Integrate Claude with any OpenAI SDK Compatible Chat Completion API like OpenAI, Perplexity, Groq, xAI, PyroPrompts, etc."
,,
,Oxylabs MCP,Fetch and process content from specified URLs using the Oxylabs Web Scraper API.
,,
,Browser Automation Agent,"Automate browser interactions seamlessly with our agent. Leverage the power of the Model Context Protocol to enhance your web automation tasks. Experience state management, interactive element manipulation, and more for efficient browser automation."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,UI Flowchart Creator,Create UI flowcharts and visualize user interfaces.
,,
,Crypto_MCP,A Model Context Protocol (MCP) server for encrypting/decrypting/algorithm/hash
,,
,GitLab,Enable project management and file operations with GitLab.
,,
,Linear,"(best in competition) Interact with Linear project management through AI assistants. Access and manage your Linear projects, issues, and teams seamlessly with AI-driven commands. Enhance your productivity by automating project management tasks effortlessly."
,,
,Azure DevOps Integration,"Seamlessly manage work items, repositories, boards, and sprints in Azure DevOps through a powerful API. Enhance your AI assistants and tools with standardized access to Azure DevOps functionalities. Streamline your development workflow and improve team collaboration with easy integration."
,,
,AI 图像生成服务,"Generate high-quality images with customizable sizes and save paths. Enjoy features like automatic retries, detailed error messages, and asynchronous processing to enhance your creative projects."
,,
,GitHub,"Enable seamless file operations, repository management, and advanced search functionalities on GitHub. Automate your workflows with automatic branch creation and comprehensive error handling, all while preserving Git history. Enhance your development experience by integrating GitHub capabilities directly into your applications."
,,
,Metabase Integration Server,"Interact with Metabase seamlessly. Access dashboards, execute queries, and retrieve data directly from your Metabase instance, enhancing your AI assistant's capabilities."
,,
,Slack,Enable interaction with Slack workspaces.
,,
,OSINT Server,Leverage powerful open-source intelligence tools to gather and analyze data from various sources. Enhance your investigations with automated data retrieval and processing capabilities. Simplify your research workflow and make informed decisions faster.
,,
,Contentful Management Server,"MCP server for Contentful Content Management API integration, providing full CRUD operations, space, and content-type management, do bulk operations, invoke AI-actions and authenticate using App Identities.
This MCP Server will enable you to implement a powerful agentic workflow that can do content operations on the Contentful platform"
,,
,NPX Fetch,"A CLI tool for fetching and processing content using the Model Context Protocol, supporting HTML, JSON, plain text, and Markdown formats."
,,
,Smart-Thinking,"Enhance your AI assistants with advanced multi-dimensional reasoning capabilities. Analyze thoughts, verify information, and visualize reasoning processes for better decision-making. Collaborate seamlessly with others to tackle complex problems effectively."
,,
,YouTube Transcript Server,"Enables retrieval of transcripts from YouTube videos. Provides direct access to video captions and subtitles through a simple interface, with support for multiple languages and video URL formats."
,,
,Pushover Notification,Send real-time notifications effortlessly through Pushover.net. Integrate this tool with your AI agents to keep users informed with timely alerts. Simplify your communication by automating notifications directly from your applications.
,,
,PubMedSearch,"Search and retrieve academic papers from the PubMed database effortlessly. Access detailed information including titles, authors, journals, abstracts, and DOIs with ease. Enhance your research capabilities by integrating this server into your workflow."
,,
,Perplexity Chat MCP Server,Request expert programming assistance through Perplexity. Streamline your coding solutions and error debugging with interactive responses.
,,
,Discord MCP Server,"Enable your AI assistants to seamlessly interact with Discord. Manage channels, send messages, and retrieve server information effortlessly. Enhance your Discord experience with powerful automation capabilities."
,,
,Todoist Integration,Connect your LLM to interact with Todoist tasks and projects.
,,
,React MCP,Enable Claude AI to manage and interact with React applications seamlessly.
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,DocsFetcher,Fetch npm package documentation and present it for LLMs.
,,
,Perplexity Server,MCP Server for the Perplexity API.
,,
,Youtube Transcript,Retrieve transcripts of YouTube videos.
,,
,Unity MCP Integration,"Enable AI assistants to interact with your Unity projects in real-time. Access scene information, execute C# code, and monitor logs directly within the Unity Editor. Enhance your development workflow with seamless AI integration.
Also Added File Access to Give more functionality to LLM"
,,
,Sequential Thinking Tools,"Guide your problem-solving process by breaking down complex tasks into manageable steps. Receive intelligent tool recommendations tailored to each stage, complete with confidence scores and rationales. Enhance your decision-making with a structured approach to tackling challenges."
,,
,MCP Fetch,A Model Context Protocol server that provides web content fetching capabilities.
,,
,AutoGen Server,Create and manage AI agents that collaborate and solve problems through natural language interactions. Enable multi-agent conversations and orchestrate group chats with customizable configurations. Enhance your applications with built-in error handling and response validation for seamless communication between agents.
,,
,Google Search Server,Leverage Google Custom Search to enhance your applications with powerful search capabilities. Easily integrate and retrieve search results from Google directly within your environment. Start building smarter applications that can access the vast information available on the web.
,,
,MySQL MCP Server,"An MCP server implementation that enables Claude AI to interact with MySQL databases. Features include secure database connections, query execution, read-only mode support, and multi-query capabilities."
,,
,Obsidian Omnisearch,Search through your Obsidian vault notes programmatically with ease. Integrate seamlessly with other services using a REST API to retrieve absolute paths to matching notes. Enhance your note-taking experience by leveraging powerful search capabilities.
,,
,ClickUp MCP Server,Integrate ClickUp tasks with AI applications.
,,
,MySQL MCP Server,"Connect and interact with MySQL databases seamlessly. Execute SQL queries, manage database connections, and retrieve data directly through AI assistants. Enhance your AI capabilities with structured access to your MySQL data."
,,
,Monday.com MCP Server,Enable interaction with Monday.com boards and items.
,,
,Google Maps,Provides location-based services and mapping functionality through the Google Maps Platform APIs
,,
,Greeting,Enhance your applications with personalized greeting capabilities. Easily integrate and customize greetings to improve user engagement and experience. Leverage the power of the Model Context Protocol to create dynamic interactions effortlessly.
,,
,Mavae Image Toolbox,MAVAE IMAGE TOOLBOX is a Model Context Protocol (MCP) server for interacting with image media tools. 🚀 Image Generation | 🚀 Image Editing | 🚀 Collection Management | 🚀 Model & Lora Management
,,
,DeepLucid3D UCPF Server,"Enable advanced cognitive analysis and creative problem-solving with structured cognitive tools. Assess cognitive states, generate novel perspectives, and decompose complex problems for effective solutions. Enhance your AI capabilities with a powerful framework for structured thinking."
,,
,Unity Game Engine,"Make Unity Editor more agentic, enhancing your development workflow with different MCP clients.

Add the package via the Unity Package manager and follow the README configurations"
,,
,Advanced PocketBase Server V2,"*Updated April 2nd 2025* 
An MCP server for interacting with PocketBase databases, offering advanced database operations and schema management."
,,
,Xano MCP Server,Integrate your applications with Xano databases effortlessly. Interact with your Xano instances and manage your database structures through a simple API. Streamline your data operations and enhance your application's capabilities with ease.
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Jira Context MCP,Fetch and manage Jira issues efficiently.
,,
,Search1API MCP Server,A Model Context Protocol (MCP) server that provides search and crawl functionality using Search1API.
,,
,SERP API Server,"Analyze search engine results, conduct keyword research, and perform competitor analysis effortlessly. Leverage powerful tools to gain insights and optimize your online presence. Start making data-driven decisions today with our comprehensive SERP analysis capabilities."
,,
,Apple Tools Integration,"Integrate with Apple applications to send and manage messages, emails, notes, contacts, and more."
,,
,飞书多维表格,"feishu mcp server
飞书多维表格mcp"
,,
,Everart,Image generation server utilizing EverArt's API with multiple model options for generating images.
,,
,PostgreSQL MCP Server,A Model Context Protocol server that provides read-only access to PostgreSQL databases. This server enables LLMs to inspect database schemas and execute read-only queries.
,,
,Think MCP Server,"Enhance your AI's reasoning capabilities with the 'think' tool, allowing it to pause and reflect during complex problem-solving. This server improves decision-making consistency and policy adherence, making it ideal for multi-step tasks. Leverage structured thinking to achieve better outcomes in your AI interactions."
,,
,Database Explorer,"Connect to and manage various databases effortlessly. Execute queries, list tables, and export data with ease, enhancing your database management experience."
,,
,DocsFetcher,"Fetch package documentation from multiple programming languages for LLMs like Claude. Access comprehensive information without needing API keys, making it easy to retrieve and analyze documentation. Enhance your development experience with structured data and specialized prompts for documentation analysis."
,,
,Local Utilities,"Access various local system utilities quickly and efficiently. Retrieve system information like time, hostname, public IP, and more with ease. Enhance your MCP-compatible applications with essential local functionalities."
,,
,Playwright MCP,"Connect AI assistants directly to your DOM for faster, smarter test automation. Enable AI tools to see your application structure, generating precise Playwright tests based on real elements rather than descriptions alone."
,,
,Doc Scraper,Scrape documentation from any web URL and convert it into markdown format. Save the converted documentation to your specified output path effortlessly. Enhance your documentation management with this easy-to-use server integration.
,,
,MCP Server Semgrep,Integrate advanced static code analysis and security vulnerability detection into your development workflow. Enhance code quality and maintainability through a conversational interface with AI assistants. Automate error detection and enforce coding standards effortlessly.
,,
,Google Drive server,"Integrate with Google Drive to effortlessly list, read, and search files, as well as read and write to Google Sheets. Streamline your workflow by accessing and manipulating your Google Drive content directly from your applications."
,,
,JigsawStack AI Web Scraper,"Scrape any website instantly and get consistent structured data in seconds without writing any css selector code, check out API documentation here: https://jigsawstack.com/docs/api-reference/ai/scrape Get your API key here: https://jigsawstack.com/dashboard/"
,,
,Textube,Fetch and analyze YouTube video transcripts effortlessly. Gain insights and summaries from video content using specialized prompts. Enhance your understanding of video topics with quick and deep analysis tools.
,,
,Enzyme,Integrate your applications with the Model Context Protocol to enhance functionality and data interaction. Leverage a robust Electron application built with React and TypeScript for seamless development. Experience a streamlined setup and build process tailored for modern development environments.
,,
,Datadog API Integration,"Leverage Datadog's powerful monitoring features for incident management, logs, metrics, and more. Streamline your observability processes by integrating directly with the Datadog API through this server. Enhance your incident response and monitoring capabilities effortlessly."
,,
,DuckDB Knowledge Graph Memory Server,"Enhance your conversational agents with a robust memory system that efficiently retrieves and updates user information. Leverage the power of DuckDB for fast, scalable, and flexible querying of knowledge graphs. Transform interactions by maintaining a rich context of user preferences and relationships."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Spotify Server,"Access Spotify's music catalog and interact with tracks, albums, and artists."
,,
,SQLite Server,"A Node.js implementation of the Model Context Protocol SQLite server, providing an npx-based alternative for environments lacking Python's UVX runner."
,,
,Audiense Insights,Extract marketing insights and audience analysis from Audiense reports.
,,
,Domain Search - No API key required.,Want to look for a domain with your favorite AI client? Why stop at inventing names when you can check if the domain is actually avaliable! No API key required.
,,
,PubMed MCP Server,"Enable AI assistants to search, access, and analyze PubMed articles through a simple interface. Retrieve detailed metadata, perform deep analysis, and facilitate biomedical research efficiently. Access full-text PDFs and specialized prompts for comprehensive paper analysis."
,,
,Kagi,Access Kagi Search API for retrieving information from the web.
,,
,Luma MCP Server,A Model Context Protocol server for Luma AI video generation
,,
,MCP Servers,"Automate browser tasks effortlessly. Control a headless browser for navigation, screenshot capturing, and element interaction, all through a simple interface. Enhance your automation projects with dynamic resource access and server lifecycle management."
,,
,Railway MCP Server,"Manage your Railway infrastructure effortlessly using natural language. Deploy, configure, and monitor your services autonomously and securely with the help of Claude and other MCP clients."
,,
,National Parks Server,"Access real-time information about U.S. National Parks, including park details, alerts, activities, and visitor center information. Discover parks based on your interests and plan your next adventure with ease."
,,
,AIO-MCP Server,"A powerful Model Context Protocol (MCP) server implementation with integrations for GitLab, Jira, Confluence, YouTube, Google Maps, and more. This server provides AI-powered search capabilities and various utility tools for development workflows."
,,
,Configurable Puppeteer Server,"Automate browser interactions effortlessly. Capture screenshots, execute JavaScript, and navigate web pages with customizable options. Enhance your LLM's capabilities with real-time web automation."
,,
,Figma MCP Server,Integrate your Figma design files with AI-powered coding tools to enhance design accuracy and efficiency. Fetch relevant metadata from Figma to streamline the coding process and implement designs seamlessly. Start using your Figma designs in Cursor's composer for improved AI interactions.
,,
,CiteAssist MCP,Retrieve citation data effortlessly from CiteAs and Google Scholar. Get BibTeX-formatted citations for your resources with just a few commands. Enhance your research workflow by integrating citation retrieval directly into your applications.
,,
,Mcp Security Audit,A powerful MCP (Model Context Protocol) Server that audits npm package dependencies for security vulnerabilities. Built with remote npm registry integration for real-time security checks.
,,
,Alpha Vantage Stock Server,"Access real-time and historical stock market data effortlessly. Get intraday and daily stock data, generate alerts based on price movements, and utilize stock data as resources for analysis. Enhance your financial insights with seamless integration into your applications."
,,
,Algorand MCP Server,"Interact seamlessly with the Algorand blockchain using a comprehensive set of tools and resources. Manage accounts, create assets, and execute transactions effortlessly. Leverage real-time and historical data access to enhance your blockchain applications."
,,
,Time MCP Server,"Empower your LLMs with time awareness capabilities. Access current time, convert between timezones, and get timestamps effortlessly. Enhance your applications with precise time-related functionalities.
usage: `npx time-mcp`"
,,
,Exa MCP,Enable AI assistants to perform web searches using Exa's powerful search API.
,,
,Google Calendar,Integration with Google Calendar to manage events through a standardized interface.
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Google Search Console,A Model Context Protocol (MCP) server providing access to Google Search Console.
,,
,Drawing Tool for AI Assistants,Create and manipulate drawings with a simple canvas interface. Enhance your AI assistants by enabling them to draw filled shapes and export images effortlessly. Utilize this tool to bring visual creativity to your applications.
,,
,Talk to Figma MCP,Integrate LLM/Cursor AI with Figma to read and modify designs programmatically. Enhance your design workflow by leveraging Cursor's capabilities to interact with Figma's design elements seamlessly.
,,
,Helius,"Access Solana blockchain data seamlessly. Check wallet balances, retrieve blockchain information, and interact with tokens and NFTs directly through Claude."
,,
,Asana Integration Server,"Connect your AI tools to Asana seamlessly. Manage tasks, projects, and workspaces directly from your LLM interface, enhancing productivity and collaboration. Simplify your workflow by leveraging the power of Asana through intuitive commands and queries."
,,
,Content Summarizer Server,Generate concise summaries from various content formats using advanced AI models.
,,
,VirusTotal Server,"MCP server for VirusTotal API integration, providing comprehensive security analysis tools."
,,
,Terminal MCP Server,"Execute commands on local or remote hosts seamlessly. Leverage a powerful interface to run system commands, manage sessions, and set environment variables effortlessly. Enhance your AI models and applications with robust command execution capabilities."
,,
,Excel File Processing Server,"Read, write, and analyze Excel files effortlessly. Streamline your data management tasks with powerful functionalities for handling Excel documents. Enhance your applications with seamless integration of Excel processing capabilities."
,,
,Erick Wendel Contributions,"A Model Context Protocol (MCP) server that provides tools to query Erick Wendel's contributions across different platforms. 

See full docs in the repo for examples and more!"
,,
,Mercury MCP,"Get a Mercury API Key from your Mercury settings.

Interface with your Mercury banking data seamlessly. Access your financial information and perform banking operations through any compatible MCP client. Simplify your banking interactions with easy-to-use commands and tools."
,,
,Shodan Server,"A Model Context Protocol server for querying the Shodan API and Shodan CVEDB, providing access to network intelligence and security services."
,,
,Pinterest MCP Server,Search for images and retrieve information from Pinterest.
,,
,Vercel API Integration,"Connect to the Vercel API to manage deployments, DNS records, domains, and environment variables seamlessly. Streamline your workflow by automating interactions with Vercel, enhancing your development efficiency. Utilize powerful tools to retrieve, create, and manage your Vercel resources effortlessly."
,,
,n8n Assistant,"Search for n8n documentation, example workflows, and community forums seamlessly. Enhance your productivity by quickly retrieving relevant information and resources related to n8n. Utilize asynchronous processing for faster responses and efficient content fetching."
,,
