search_query,name,description,설명,url,type,usage_count,topic
memory systems and memory extensions for agents,MemoryMesh,"A knowledge graph server that can store, update, and recall structured information. Features dynamic schema-based tools and relationship management for entities like characters, locations, and items.","구조화된 정보를 저장, 업데이트, 리콜할 수 있는 지식 그래프 서버입니다. 캐릭터, 위치, 아이템과 같은 엔티티에 대한 동적 스키마 기반 도구와 관계 관리 기능을 제공합니다.",https://smithery.ai/server/memorymesh,Local,,1
memory systems and memory extensions for agents,Simple Memory Extension Server,"Store and recall important information effortlessly. Manage your agent's memory with ease, allowing it to remember key moments and progress. Enhance your coding experience with semantic search capabilities to find context items based on meaning.",중요한 정보를 손쉽게 저장하고 불러오세요. 에이전트의 메모리를 쉽게 관리하여 중요한 순간과 진행 상황을 기억할 수 있도록 하세요. 의미 검색 기능으로 코딩 경험을 향상시켜 의미에 따라 컨텍스트 항목을 찾으세요.,https://smithery.ai/server/@gmacev/Simple-Memory-Extension-MCP-Server,Local,,1
memory systems and memory extensions for agents,Optimized Memory Server,"Enhance your AI interactions by enabling persistent memory capabilities. This server allows Claude to remember user information across chats, improving personalization and context awareness. Utilize a local knowledge graph to manage entities, relations, and observations seamlessly.","지속적인 메모리 기능을 활성화하여 AI 상호 작용을 강화하세요. 이 서버를 통해 Claude는 채팅에서 사용자 정보를 기억하여 개인화 및 컨텍스트 인식을 개선할 수 있습니다. 로컬 지식 그래프를 활용하여 엔터티, 관계 및 관찰을 원활하게 관리하세요.",https://smithery.ai/server/@AgentWong/optimized-memory-mcp-server,Local,,0
memory systems and memory extensions for agents,Memory Management Server,"Manage and enhance your chat experience by allowing Claude to remember and recall important information during conversations. Effortlessly add, search, delete, and list memories to create a more personalized interaction. Improve context retention and response relevance with a simple memory text file system.","Claude가 대화 중에 중요한 정보를 기억하고 회상할 수 있도록 하여 채팅 경험을 관리하고 향상시키세요. 손쉽게 메모리를 추가, 검색, 삭제 및 나열하여 더욱 개인화된 상호작용을 만드세요. 간단한 메모리 텍스트 파일 시스템으로 컨텍스트 유지 및 응답 관련성을 개선하세요.",https://smithery.ai/server/@g0t4/mcp-server-memory-file,Local,,1
memory systems and memory extensions for agents,Memory for AI Conversations,"Give your AI a memory that persists across conversations. Ensure your LLMs remember important information forever, creating more coherent, personalized, and effective AI interactions.",대화에서 지속되는 기억을 AI에 제공하세요. LLM이 중요한 정보를 영원히 기억하도록 하여 더욱 일관되고 개인화되고 효과적인 AI 상호 작용을 만들어내세요.,https://smithery.ai/server/@j3k0/mcp-brain-tools,Local,,1
memory systems and memory extensions for agents,Zanny's Persistent Memory Manager,"Store, retrieve, and manage your memories effortlessly. Utilize smart keyword detection to interact with your memories using natural language commands. Enjoy unlimited storage and comprehensive logging for all your memory management needs.","기억을 손쉽게 저장, 검색, 관리하세요. 스마트 키워드 감지를 활용하여 자연어 명령을 사용하여 기억과 상호 작용하세요. 모든 기억 관리 요구 사항에 대해 무제한 스토리지와 포괄적인 로깅을 즐기세요.",https://smithery.ai/server/@zannyonear1h1/mcp-memory-bank-2,Local,,0
memory systems and memory extensions for agents,Memory Server,"Manage and maintain structured memories across chat sessions with Claude. Enhance your project workflows by saving and retrieving important information seamlessly, ensuring continuity and context in long-term projects. Ideal for software development, research, and collaborative work.","Claude와의 채팅 세션에서 구조화된 메모리를 관리하고 유지하세요. 중요한 정보를 원활하게 저장하고 검색하여 프로젝트 워크플로를 개선하고 장기 프로젝트의 연속성과 맥락을 보장하세요. 소프트웨어 개발, 연구 및 협업 작업에 이상적입니다.",https://smithery.ai/server/@ebailey78/mcp-memory,Local,,1
memory systems and memory extensions for agents,Memory Bank,"Manage and interact with structured repositories of information for AI assistants. Store, retrieve, and track context across sessions to enhance your AI's capabilities. Utilize various operational modes to optimize interactions for specific tasks like coding, debugging, and system design.","AI 어시스턴트를 위한 구조화된 정보 저장소를 관리하고 상호 작용합니다. 세션 간에 컨텍스트를 저장, 검색 및 추적하여 AI의 기능을 향상합니다. 다양한 운영 모드를 활용하여 코딩, 디버깅 및 시스템 설계와 같은 특정 작업에 대한 상호 작용을 최적화합니다.",https://smithery.ai/server/@movibe/memory-bank-mcp,Local,,0
memory systems and memory extensions for agents,myAI Memory Sync,"Synchronize your memories effortlessly across all Claude interfaces. Automatically update your memory template without manual input, ensuring a consistent and personalized experience. Enjoy seamless integration and management of your memories with intelligent updates and caching.",모든 Claude 인터페이스에서 손쉽게 추억을 동기화하세요. 수동 입력 없이 자동으로 추억 템플릿을 업데이트하여 일관되고 개인화된 경험을 보장합니다. 지능형 업데이트 및 캐싱으로 추억을 원활하게 통합하고 관리하세요.,https://smithery.ai/server/@Jktfe/myaimemory-mcp,Local,,1
memory systems and memory extensions for agents,Memory Tool,"Store and retrieve user-specific memories to maintain context and make informed decisions based on past interactions. Utilize a simple API to add and search memories with relevance scoring, enhancing your application's ability to remember user preferences and interactions.",사용자별 메모리를 저장하고 검색하여 맥락을 유지하고 과거 상호작용을 기반으로 정보에 입각한 결정을 내립니다. 간단한 API를 활용하여 관련성 점수로 메모리를 추가하고 검색하여 애플리케이션이 사용자 선호도와 상호작용을 기억하는 능력을 향상시킵니다.,https://smithery.ai/server/@mem0ai/mem0-memory-mcp,Local,,1
memory systems and memory extensions for agents,Memory Server,"Enhance your Large Language Models with persistent memory capabilities. Store, retrieve, and manage memories seamlessly across conversations to improve context and relevance. Integrate effortlessly with the Claude desktop application for a richer user experience.","지속적 메모리 기능으로 대규모 언어 모델을 강화하세요. 대화에서 메모리를 원활하게 저장, 검색 및 관리하여 맥락과 관련성을 개선하세요. Claude 데스크톱 애플리케이션과 손쉽게 통합하여 더욱 풍부한 사용자 경험을 제공하세요.",https://smithery.ai/server/@WhenMoon-afk/claude-memory-mcp,Local,,1
memory systems and memory extensions for agents,Resources,Building the operating system for AI,AI를 위한 운영체제 구축,https://smithery.ai/,,,0
memory systems and memory extensions for agents,mem0 Memory System,"Enhance your AI applications with a flexible memory system that automatically extracts, stores, and retrieves user information. Integrate seamlessly with MCP-compatible applications or embed directly into your projects for personalized user experiences. Enjoy multi-provider support and customizable configurations to suit your needs.","사용자 정보를 자동으로 추출, 저장, 검색하는 유연한 메모리 시스템으로 AI 애플리케이션을 강화하세요. MCP 호환 애플리케이션과 원활하게 통합하거나 프로젝트에 직접 임베드하여 개인화된 사용자 경험을 제공하세요. 여러 공급업체 지원과 필요에 맞는 사용자 정의 가능한 구성을 즐기세요.",https://smithery.ai/server/@pinkpixel-dev/mem0-mcp,Local,,1
memory systems and memory extensions for agents,Knowledge Graph Memory Server,Enable persistent memory for Claude using a local knowledge graph.,로컬 지식 그래프를 사용하여 Claude에 대한 지속적 메모리를 활성화합니다.,https://smithery.ai/server/@T1nker-1220/memories-with-lessons-mcp-server,Local,,0
memory systems and memory extensions for agents,Titan Memory Server,Implement a neural memory system that learns and predicts sequences while maintaining state through a memory vector.,메모리 벡터를 통해 상태를 유지하면서 시퀀스를 학습하고 예측하는 신경 메모리 시스템을 구현합니다.,https://smithery.ai/server/@synthience/mcp-titan-cognitive-memory,Local,,0
memory systems and memory extensions for agents,MemGPT,Implements a memory system for LLMs with tools for conversation and history retrieval.,대화 및 이력 검색 도구를 갖춘 LLM을 위한 메모리 시스템을 구현합니다.,https://smithery.ai/server/letta-memgpt,Local,,0
memory systems and memory extensions for agents,Memory Cache Server,Reduce token consumption by efficiently caching data between language model interactions. Automatically store and retrieve frequently accessed data to enhance performance without any extra effort from you. Experience faster responses and optimized resource usage with seamless caching integration.,언어 모델 상호작용 간에 데이터를 효율적으로 캐싱하여 토큰 소비를 줄입니다. 자주 액세스하는 데이터를 자동으로 저장하고 검색하여 추가적인 노력 없이 성능을 향상합니다. 원활한 캐싱 통합으로 더 빠른 응답과 최적화된 리소스 사용을 경험하세요.,https://smithery.ai/server/@ibproduct/ib-mcp-cache-server,Local,,0
memory systems and memory extensions for agents,Knowledge Graph Memory Server,Enable Claude to remember user information across chats using a local knowledge graph.,로컬 지식 그래프를 사용하여 Claude가 채팅 전반에서 사용자 정보를 기억할 수 있도록 합니다.,https://smithery.ai/server/@yodakeisuke/mcp-memory-domain-knowledge,Local,,0
memory systems and memory extensions for agents,Probable Octo Memory,Enhance your applications with intelligent memory capabilities. Store and retrieve contextual information seamlessly to improve user interactions and decision-making processes.,지능형 메모리 기능으로 애플리케이션을 강화하세요. 상황에 맞는 정보를 원활하게 저장하고 검색하여 사용자 상호작용과 의사 결정 프로세스를 개선하세요.,https://smithery.ai/server/@278533874/probable-octo-memory,Local,,1
memory systems and memory extensions for agents,Probable Octo Memory,Enhance your applications with intelligent memory capabilities. Store and retrieve contextual information seamlessly to improve user interactions and decision-making processes.,지능형 메모리 기능으로 애플리케이션을 강화하세요. 상황에 맞는 정보를 원활하게 저장하고 검색하여 사용자 상호작용과 의사 결정 프로세스를 개선하세요.,https://smithery.ai/server/@278533874/huihuijia,Local,,1
memory systems and memory extensions for agents,Memory Service,Provide semantic memory and persistent storage using ChromaDB.,ChromaDB를 사용하여 의미적 메모리와 영구 저장소를 제공합니다.,https://smithery.ai/server/@doobidoo/mcp-memory-service,Local,,0
memory systems and memory extensions for agents,Memory Cache Server,Reduce token consumption by caching data between language model interactions. Automatically store and retrieve frequently accessed data for improved performance.,언어 모델 상호작용 간에 데이터를 캐싱하여 토큰 소비를 줄입니다. 자주 액세스하는 데이터를 자동으로 저장하고 검색하여 성능을 개선합니다.,https://smithery.ai/server/@tosin2013/mcp-memory-cache-server,Local,,0
memory systems and memory extensions for agents,Memory Bank,Manage your project documentation and context seamlessly across sessions. Enhance your workflow with structured memory banks that maintain consistent knowledge and support multilingual documentation. Utilize a powerful API for efficient document management and retrieval.,세션 간에 프로젝트 문서와 컨텍스트를 원활하게 관리하세요. 일관된 지식을 유지하고 다국어 문서를 지원하는 구조화된 메모리 뱅크로 워크플로를 강화하세요. 효율적인 문서 관리 및 검색을 위해 강력한 API를 활용하세요.,https://smithery.ai/server/@t3ta/memory-bank-mcp-server,Local,,0
memory systems and memory extensions for agents,C.W.K. Pippa Memory Manager,"Manage and enhance your AI assistant's memory capabilities. Store, recall, and manage information seamlessly across conversations, making interactions more personalized and effective. Experience a user-friendly interface and robust memory management tailored for Cursor IDE.","AI 어시스턴트의 메모리 기능을 관리하고 향상시킵니다. 대화에서 정보를 원활하게 저장, 회수 및 관리하여 상호 작용을 보다 개인화하고 효과적으로 만듭니다. Cursor IDE에 맞게 조정된 사용자 친화적인 인터페이스와 강력한 메모리 관리를 경험하세요.",https://smithery.ai/server/@neobundy/cwkCursorPippaMCP,Local,,1
memory systems and memory extensions for agents,IaC Memory Server,Enhance AI capabilities by providing persistent memory storage for Infrastructure-as-Code components.,Infrastructure-as-Code 구성 요소에 대한 영구 메모리 스토리지를 제공하여 AI 기능을 향상합니다.,https://smithery.ai/server/@AgentWong/iac-memory-mcp-server-project,Local,,0
memory systems and memory extensions for agents,Neo4j Knowledge Graph Memory Server,Store and retrieve information from AI interactions using a powerful Neo4j backend. Enhance your AI assistant's capabilities with advanced graph querying and memory management. Experience improved performance and scalability for complex knowledge graph applications.,강력한 Neo4j 백엔드를 사용하여 AI 상호작용에서 정보를 저장하고 검색합니다. 고급 그래프 쿼리 및 메모리 관리로 AI 어시스턴트의 기능을 향상합니다. 복잡한 지식 그래프 애플리케이션에 대한 향상된 성능과 확장성을 경험하세요.,https://smithery.ai/server/@JovanHsu/mcp-neo4j-memory-server,Local,,1
memory systems and memory extensions for agents,Titan Memory Server,"This tool is a cutting-edge memory engine that blends real-time learning, persistent three-tier context awareness, and seamless LLM integration to continuously evolve and enrich your AI’s intelligence.","이 도구는 실시간 학습, 지속적인 3계층 컨텍스트 인식, 원활한 LLM 통합을 결합하여 AI의 지능을 지속적으로 발전시키고 풍부하게 만드는 최첨단 메모리 엔진입니다.",https://smithery.ai/server/@henryhawke/mcp-titan,Remote,,0
memory systems and memory extensions for agents,Letta MCP Server,"Manage agents and memory blocks seamlessly within the Letta system. Create, list, and attach memory blocks to agents while sending messages and receiving responses effortlessly. Enhance your agent interactions with powerful tools designed for efficient management.","Letta 시스템 내에서 에이전트와 메모리 블록을 원활하게 관리하세요. 메시지를 보내고 응답을 받는 동안 에이전트에 메모리 블록을 만들고, 나열하고, 첨부하세요. 효율적인 관리를 위해 설계된 강력한 도구로 에이전트 상호 작용을 강화하세요.",https://smithery.ai/server/@oculairmedia/Letta-MCP-server,Local,,1
memory systems and memory extensions for agents,Knowledge Graph Memory Server,Manage and enhance your interactions with a customizable knowledge graph. Capture and organize user interactions with timestamps for better context and history. Streamline your project-specific memory storage for improved data management.,사용자 정의 가능한 지식 그래프로 상호작용을 관리하고 개선하세요. 타임스탬프로 사용자 상호작용을 캡처하고 정리하여 더 나은 맥락과 기록을 얻으세요. 프로젝트별 메모리 저장소를 간소화하여 데이터 관리를 개선하세요.,https://smithery.ai/server/@BRO3886/mcp-memory-custom,Local,,0
memory systems and memory extensions for agents,Basic Memory,"Build persistent knowledge through natural conversations with LLMs while keeping everything in simple Markdown files. Enable your LLM to read and write to your local knowledge base, allowing for contextual awareness across sessions. Manage your knowledge graph effortlessly with a local-first approach that keeps your data under your control.",LLM과의 자연스러운 대화를 통해 지속적인 지식을 구축하는 동시에 모든 것을 간단한 마크다운 파일에 보관합니다. LLM이 로컬 지식 기반을 읽고 쓸 수 있도록 하여 세션 전반에 걸쳐 문맥 인식을 허용합니다. 데이터를 제어하는 로컬 우선 접근 방식으로 지식 그래프를 손쉽게 관리합니다.,https://smithery.ai/server/@basicmachines-co/basic-memory,Local,,0
memory systems and memory extensions for agents,Memory Server,"Manage your knowledge graph effortlessly. Create, update, and query entities and their relationships with strict validation to ensure data consistency. Enhance your applications with a robust memory management system that supports complex queries and observations.","지식 그래프를 손쉽게 관리하세요. 엄격한 검증을 통해 엔터티와 그 관계를 만들고, 업데이트하고, 쿼리하여 데이터 일관성을 보장하세요. 복잡한 쿼리와 관찰을 지원하는 강력한 메모리 관리 시스템으로 애플리케이션을 강화하세요.",https://smithery.ai/server/@evangstav/python-memory-mcp-server,Local,,1
memory systems and memory extensions for agents,Knowledge Graph Memory,Leverage a scalable knowledge graph powered by Elasticsearch to enhance your Model Context Protocol applications. Easily manage and query vast amounts of data with advanced search capabilities and memory-like behavior. Streamline your data operations with complete CRUD support and efficient import/export tools.,Elasticsearch에서 제공하는 확장 가능한 지식 그래프를 활용하여 Model Context Protocol 애플리케이션을 강화하세요. 고급 검색 기능과 메모리와 유사한 동작으로 방대한 양의 데이터를 쉽게 관리하고 쿼리하세요. 완벽한 CRUD 지원과 효율적인 가져오기/내보내기 도구로 데이터 작업을 간소화하세요.,https://smithery.ai/server/@j3k0/mcp-elastic-memory,Local,,1
memory systems and memory extensions for agents,Resources,Building the operating system for AI,AI를 위한 운영체제 구축,https://smithery.ai/,,,0
memory systems and memory extensions for agents,Neo4j Graph Memory,Facilitate knowledge graph memory stored directly in Neo4j.,Neo4j에 직접 저장된 지식 그래프 메모리를 활용합니다.,https://smithery.ai/server/@neo4j-contrib/mcp-neo4j-memory,Local,,1
memory systems and memory extensions for agents,Mem0 Coding Preferences Manager,"Manage your coding preferences efficiently with this server. Store, retrieve, and search coding snippets and patterns seamlessly, enhancing your development workflow. Connect easily with Cursor and leverage a persistent coding preferences system for better coding practices.","이 서버로 코딩 선호도를 효율적으로 관리하세요. 코딩 스니펫과 패턴을 매끄럽게 저장, 검색, 검색하여 개발 워크플로를 개선하세요. Cursor와 쉽게 연결하고 지속적인 코딩 선호도 시스템을 활용하여 더 나은 코딩 관행을 실천하세요.",https://smithery.ai/server/@mem0ai/mem0-mcp,Local,,1
memory systems and memory extensions for agents,Memory Context Provider Server,Manage user contexts for LLM interactions seamlessly. Store and retrieve relevant context based on user prompts to enhance conversational continuity. Utilize a RESTful API for easy integration and context management.,LLM 상호작용을 위한 사용자 컨텍스트를 원활하게 관리합니다. 대화의 연속성을 강화하기 위해 사용자 프롬프트에 따라 관련 컨텍스트를 저장하고 검색합니다. 쉬운 통합 및 컨텍스트 관리를 위해 RESTful API를 활용합니다.,https://smithery.ai/server/@Srish-ty/MCP-Testing-interface-for-LLMs,Local,,1
memory systems and memory extensions for agents,Dev Memory Server,Capture and organize your development context seamlessly across projects. Enhance your coding experience by automatically tracking code changes and user interactions. Focus on building while we manage your development memory.,프로젝트 전반에 걸쳐 개발 컨텍스트를 원활하게 캡처하고 구성하세요. 코드 변경 사항과 사용자 상호 작용을 자동으로 추적하여 코딩 경험을 향상하세요. 우리가 개발 메모리를 관리하는 동안 빌드에 집중하세요.,https://smithery.ai/server/@TrackerXXX23/dev_memory_mcp,Local,,1
memory systems and memory extensions for agents,TxtAI Assistant,"Enhance your AI assistants with powerful semantic memory and search capabilities. Store, retrieve, and manage text-based memories seamlessly to improve context awareness during conversations. Leverage advanced features like tagging and health monitoring for optimal performance.","강력한 의미적 메모리 및 검색 기능으로 AI 어시스턴트를 강화하세요. 대화 중에 문맥 인식을 개선하기 위해 텍스트 기반 메모리를 원활하게 저장, 검색 및 관리하세요. 태그 지정 및 상태 모니터링과 같은 고급 기능을 활용하여 최적의 성능을 발휘하세요.",https://smithery.ai/server/@rmtech1/txtai-assistant-mcp,Local,,1
memory systems and memory extensions for agents,Memory Server with Qdrant Persistence,Enable knowledge graph capabilities with semantic search functionality.,의미 검색 기능을 통해 지식 그래프 기능을 활성화합니다.,https://smithery.ai/server/@delorenj/mcp-qdrant-memory,Remote,,0
memory systems and memory extensions for agents,MemoDB,"Manage your AI application's conversation context and personal knowledge base efficiently. Create, update, and query user data and knowledge seamlessly with a robust API. Enhance your AI interactions with structured knowledge management tools.","AI 애플리케이션의 대화 컨텍스트와 개인 지식 기반을 효율적으로 관리하세요. 강력한 API로 사용자 데이터와 지식을 원활하게 생성, 업데이트, 쿼리하세요. 구조화된 지식 관리 도구로 AI 상호 작용을 강화하세요.",https://smithery.ai/server/@wuyunmei/momedb-mcp,Local,,1
memory systems and memory extensions for agents,Flexible Agents System,"Enhance your customer service and content creation with intelligent, AI-powered agents. Automate workflows, analyze data, and generate creative content seamlessly across multiple languages and formats.","지능형 AI 기반 에이전트로 고객 서비스와 콘텐츠 생성을 강화하세요. 워크플로를 자동화하고, 데이터를 분석하고, 여러 언어와 형식에 걸쳐 창의적인 콘텐츠를 원활하게 생성하세요.",https://smithery.ai/server/@DynamicEndpoints/flexable-agents,Local,,1
