search_query,name,description,url,type,usage_count
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,AST Model Context Protocol Server,"Integrate your applications with advanced language models to access real-time data and perform actions seamlessly. Enhance your workflows by leveraging tools and resources dynamically, ensuring a more interactive and efficient experience. Empower your agents with the ability to manipulate and reference real-world data effortlessly.",https://smithery.ai/server/@asleep-ai/ast-mcp,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Zig Server,"Enhance AI capabilities with Zig language tooling, code analysis, and documentation.",https://smithery.ai/server/zig-mcp-server,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Reference Servers,"Showcase the versatility of Large Language Models by providing secure, controlled access to various tools and data sources. Leverage a collection of reference implementations to enhance your applications with powerful integrations. Start building your own MCP servers with ease using our comprehensive resources and community support.",https://smithery.ai/server/@leogodlike/reference-servers,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,OpenAI Agent Library,Enhance your applications with powerful language model capabilities. Integrate seamlessly with external data and tools to create intelligent agents that can perform complex tasks. Empower your projects with dynamic interactions and real-world data manipulation.,https://smithery.ai/server/@Yaxin9Luo/openai_agent_library_mcp,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Beyond MCP Server,Access social platform data and onchain data seamlessly. Integrate multiple social media platforms with ease and extend functionality as needed. Optimize your LLM interactions with well-formatted context and flexible transport options.,https://smithery.ai/server/@Beyond-Network-AI/beyond-mcp-server,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Prem AI MCP Server,Integrate seamlessly with Prem AI's powerful features for chat completions and document management. Enhance your AI assistants with Retrieval-Augmented Generation capabilities and real-time streaming responses. Upload and manage documents effortlessly to enrich your interactions.,https://smithery.ai/server/@ucalyptus/prem-mcp-server,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,My First MCP,Create and manage your own Model Context Protocol server effortlessly. Integrate various tools and resources to enhance your applications with real-world data and actions. Streamline your development process with built-in support for TypeScript and modern JavaScript tooling.,https://smithery.ai/server/@JHSeo-git/my-first-mcp,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Google Maps API Server,"Leverage the power of Google Maps to enhance your applications with location services, directions, and place details. Integrate seamlessly with your LLMs to provide real-time geographic data and insights. Start building location-aware applications effortlessly with this MCP server.",https://smithery.ai/server/@lowkeyrd/google-map-mcp-server,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,MCP Study,"Explore and integrate various functionalities of the Model Context Protocol. Enhance your applications by leveraging tools, resources, and prompts seamlessly. Experience a structured approach to connecting language models with real-world data and actions.",https://smithery.ai/server/@jpedrosouza/mcp-study,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,APISIX Model Context Protocol Server,Enable natural language-based interaction for managing resources in APISIX through AI clients. Streamline your API management tasks by leveraging the power of large language models to interact with your APISIX setup effortlessly.,https://smithery.ai/server/@api7/apisix-mcp,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Veri5ight,A Model Context Protocol (MCP) server that helps Claude chat with Ethereum nodes.,https://smithery.ai/server/5ajaki-veri5ight,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Remote MacOs Use,"Enable AI to fully control remote macOS systems effortlessly. Experience a native macOS environment without additional software installations, allowing your AI to operate seamlessly. Enjoy universal compatibility and minimal setup for instant productivity.",https://smithery.ai/server/@baryhuang/mcp-remote-macos-use,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,OpenVision,"Analyze images effortlessly with advanced AI models. Leverage powerful vision capabilities to extract insights and details from your images, enhancing your AI assistant's functionality. Simplify image analysis tasks with a user-friendly interface and customizable queries.",https://smithery.ai/server/@Nazruden/mcp-openvision,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Azure AI Agent Service,"Connect your existing Azure AI Agents seamlessly and leverage their capabilities within any MCP client. Enhance your workflows with secure, isolated conversation histories and direct agent interactions. Experience the power of Azure AI Foundry's models and tools at your fingertips.",https://smithery.ai/server/@azure-ai-foundry/mcp-foundry,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Claude Server,Manage project-specific contexts and maintain conversation continuity seamlessly. Organize your context with hierarchical structures and quick retrieval for efficient workflows. Enhance your interactions with rich metadata and flexible tagging systems.,https://smithery.ai/server/@davidteren/claude-server,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Pica MCP Server,Connect your AI applications to external tools and data sources seamlessly. Enhance your AI's capabilities by integrating with local services and APIs while maintaining user control. Experience a streamlined setup with Docker or manual installation options.,https://smithery.ai/server/@picahq/pica,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Resources,Building the operating system for AI,https://smithery.ai/,,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,MySQL Server,A Model Context Protocol server for MySQL database operations.,https://smithery.ai/server/@f4ww4z/mcp-mysql-server,Local,4.26k
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Knowledge Graph Memory Server,Enable persistent memory using a local knowledge graph.,https://smithery.ai/server/@smithery-ai/memory,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Perplexity Server,"Integrate AI-powered research capabilities seamlessly. Perform web searches, retrieve documentation, and analyze code with ease.",https://smithery.ai/server/@wysh3/perplexity-mcp-server,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Stability AI,"Image generation, editing, and upscaling using Stability AI's API.",https://smithery.ai/server/mcp-server-stability-ai,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,LLM Context,"A tool that helps inject relevant content from projects into LLM chat interfaces, leveraging `.gitignore` patterns for file selection.",https://smithery.ai/server/llm-context,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,AI Humanize Server,Refine AI-generated content to sound more natural and human-like with advanced AI detection and text enhancement capabilities.,https://smithery.ai/server/ai-humanizer-mcp-server,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Make MCP Server,Transform your Make scenarios into callable tools for AI assistants. Leverage your existing automation workflows while enabling AI systems to trigger and interact with them seamlessly.,https://smithery.ai/server/@integromat/make-mcp-server,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Servers,"Integrate your AI agents with a variety of tools and data sources seamlessly. Leverage the power of the Model Context Protocol to enhance your applications with secure, controlled access to external resources. Start building your own MCP servers or utilize existing ones to expand your AI capabilities.",https://smithery.ai/server/@sries74/mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Server,"Integrate your applications with real-world data and tools seamlessly. Access files, databases, and APIs while leveraging the power of language models to enhance your workflows. Simplify complex interactions and automate tasks with a standardized approach.",https://smithery.ai/server/@Daydreamer20/mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,AI Model Context Protocol Server,Integrate LLMs with external data and tools seamlessly. Enhance your applications with dynamic context and capabilities.,https://smithery.ai/server/@Fropppy/ai-mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Server,"Integrate your applications with real-world data and tools seamlessly. Access files, databases, and APIs while leveraging the power of language models to enhance your workflows. Simplify complex interactions and automate tasks with a standardized approach.",https://smithery.ai/server/@msl2246/mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Server,"Integrate your applications with real-world data and tools seamlessly. Access files, databases, and APIs while leveraging the power of language models to enhance your workflows. Simplify complex interactions and automate tasks with a standardized approach.",https://smithery.ai/server/@Swan-and-Co-Innovations/mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Server,"Integrate your applications with real-world data and tools seamlessly. Access files, databases, and APIs while leveraging the power of language models to enhance your workflows. Simplify complex interactions and automate tasks with a standardized approach.",https://smithery.ai/server/@WoxxyG/mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,AI Context Resource Server,Integrate AI models with external data and tools seamlessly.,https://smithery.ai/server/@joseques/ai_crs,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Dynamic Context Integration Server,"Enhance your applications by seamlessly integrating real-world data and tools. Access files, databases, and APIs dynamically to enrich your LLM interactions. Empower your agents with the ability to perform actions and retrieve information in real-time.",https://smithery.ai/server/@dkdl9886/dkdl9886,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Server,"Integrate your applications with real-world data and tools seamlessly. Access files, databases, and APIs while leveraging the power of language models to enhance your workflows. Simplify complex interactions and automate tasks with a standardized approach.",https://smithery.ai/server/@code1984/mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Server,"Integrate your applications with real-world data and tools seamlessly. Access files, databases, and APIs while leveraging the power of language models to enhance your workflows. Simplify complex interactions and automate tasks with a standardized approach.",https://smithery.ai/server/@rflowapt/mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Server,"Integrate your applications with real-world data and tools seamlessly. Access files, databases, and APIs while leveraging the power of language models to enhance your workflows. Simplify complex interactions and automate tasks with a standardized approach.",https://smithery.ai/server/@elz-ming/mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Monsoft MCPs,Enhance your AI assistant's capabilities by integrating advanced Model Context Protocols. Access external resources and perform additional functions seamlessly. Join the community in advancing AI technology with these powerful tools.,https://smithery.ai/server/@Monsoft-Solutions/model-context-protocols,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Server,"Integrate your applications with real-world data and tools seamlessly. Access files, databases, and APIs while leveraging the power of language models to enhance your workflows. Simplify complex interactions and automate tasks with a standardized approach.",https://smithery.ai/server/@centerhost/mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Resources,Building the operating system for AI,https://smithery.ai/,,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Enhanced SSH,"A powerful SSH server enabling secure remote command execution with persistent TMUX sessions, multi-window support, and smart session recovery.",https://smithery.ai/server/@essential-mcp/server-enhanced-ssh,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Server,"Integrate your applications with real-world data and tools seamlessly. Access files, databases, and APIs while leveraging the power of language models to enhance your workflows. Simplify complex interactions and automate tasks with a standardized approach.",https://smithery.ai/server/@OlivierAlter/mcp-smithery,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,QUANT AGI Tool Development,Empower your agents with advanced quantitative analysis and decision-making capabilities. Leverage sophisticated algorithms to enhance performance and insights in your applications. Transform data into actionable intelligence seamlessly and efficiently.,https://smithery.ai/server/@IAM-timmy1t/quant_agi_td,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,NetContextServer,Empower your AI coding assistant to deeply understand your .NET codebase for more accurate code suggestions and enhanced productivity. Integrate seamlessly with Cursor AI and leverage advanced features like semantic code search and intelligent navigation. Experience built-in security and fast indexing for large projects.,https://smithery.ai/server/@willibrandon/NetContextServer,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Servers,"Enable seamless integration of Large Language Models with various tools and data sources. Leverage a collection of reference implementations to enhance your applications with secure, controlled access to external resources. Start building your own MCP servers or utilize existing ones to empower your AI solutions.",https://smithery.ai/server/@xiyuefox/servers,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Server,Integrate external data and tools with language models. Enable dynamic interactions with real-world resources and actions.,https://smithery.ai/server/@royhong0501/mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,ManusMCP,"Orchestrate specialized AI agents to collaboratively tackle complex tasks. Leverage the Model Context Protocol for seamless communication and shared context among agents, enhancing their capabilities and efficiency. Simplify your workflows with intelligent automation and expert assistance from diverse AI team members.",https://smithery.ai/server/@mantrakp04/manusmcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Server,Integrate external data and tools seamlessly with LLMs. Enhance your applications by enabling real-time data access and manipulation.,https://smithery.ai/server/@SK-Consulting-S-A/mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Servers,"Explore a diverse collection of reference implementations for integrating Large Language Models with various tools and data sources. Leverage secure, controlled access to enhance your AI applications with real-world capabilities. Start building your own MCP server or utilize existing ones to supercharge your projects.",https://smithery.ai/server/@sndyding/servers,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,ProtoLinkAI,Integrate and manage diverse tools in a unified way.,https://smithery.ai/server/@StevenROyola/ProtoLink,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,MCP PIF,Implement structured tools for meaningful human-AI interaction.,https://smithery.ai/server/@hungryrobot1/MCP-PIF,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Servers,"Explore a diverse collection of reference implementations for integrating Large Language Models with various tools and data sources. Leverage secure, controlled access to enhance your AI applications with real-world capabilities. Start building your own MCP server or utilize existing ones to supercharge your projects.",https://smithery.ai/server/@beordle/servers,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,OmniMCP,Enhance your AI models with rich UI context and interaction capabilities. Leverage visual analysis and structured responses to automate UI operations seamlessly. Experience precise interactions powered by a deep understanding of user interfaces.,https://smithery.ai/server/@OpenAdaptAI/OmniMCP,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Airtable Integration Tool,"Connect your AI tools directly to Airtable. Query, create, update, and delete records using natural language, enabling seamless data management through a standardized interface. Enhance your productivity by integrating Airtable operations into your AI-powered applications effortlessly.",https://smithery.ai/server/@mh8974/airtable-mcp,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Local MCP Server,"Connect your AI models to real-time data and tools effortlessly. Utilize features like weather querying, Google search automation, and camera control to enhance your applications. Customize and extend functionalities to fit your specific needs with ease.",https://smithery.ai/server/@Dreamboat-Rachel/MCP-Server-For-Local,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,HubSpot,"Provides integration with HubSpot CRM for accessing contacts, companies, and recent engagements.",https://smithery.ai/server/@buryhuang/mcp-hubspot,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,AI Integration Server,Enhance your applications with intelligent responses and data manipulation capabilities. Seamlessly connect to various data sources and tools to enrich user interactions and automate tasks. Experience the power of AI in your workflows with ease and efficiency.,https://smithery.ai/server/@sabrikuc/ai,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,AI Integration Server,Enable seamless integration of AI capabilities with external data and tools.,https://smithery.ai/server/@haotianai/haotian_ai,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Apple Notes Integration,"Enable your AI assistants to seamlessly search and reference your Apple Notes during conversations. Leverage advanced semantic and full-text search capabilities to enhance your productivity and information retrieval. Enjoy fully local execution without the need for API keys, ensuring your data remains private and secure.",https://smithery.ai/server/@Tom-Semple/mcp-apple-notes-fixed,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Servers,"Enable seamless integration of Large Language Models with various tools and data sources. Leverage secure, controlled access to enhance your applications with powerful capabilities. Start building your own MCP servers or utilize existing ones to unlock new functionalities.",https://smithery.ai/server/@w-jeon/mcp-servers,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Resources,Building the operating system for AI,https://smithery.ai/,,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,AI Server,Integrate advanced AI capabilities into your applications. Enhance your workflows with dynamic data access and tool invocation.,https://smithery.ai/server/@haotianai/ai,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Perplexity Ask,Engage in real-time web searches with the Sonar API to enhance your conversations. Leverage live web-wide research capabilities directly within your applications. Simplify your information retrieval process and get instant answers from the web.,https://smithery.ai/server/@ppl-ai/modelcontextprotocol,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Awesome MCP Servers,"Explore and integrate various Model Context Protocol servers to enhance your AI capabilities. Access local and remote resources seamlessly, enabling your AI models to interact with databases, APIs, and more. Discover production-ready and experimental servers that extend the functionality of your AI applications.",https://smithery.ai/server/@caining0/awesome-mcp-servers,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Model Context Protocol Server,"Integrate LLMs with external data and tools seamlessly. Enable dynamic interactions with files, APIs, and custom operations.",https://smithery.ai/server/@royhong0501/mcp_first,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,QGIS Model Context Protocol Integration,"Connect Claude AI to QGIS for enhanced project management and layer manipulation. Create, load, and save projects, execute processing algorithms, and run Python code directly from Claude, streamlining your GIS workflows.",https://smithery.ai/server/@kicker315/deepseek_qgis_mcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Mifos X - AI,Enhance your financial applications with AI capabilities. Integrate seamlessly with the Model Context Protocol to leverage real-time data and tools for improved decision-making. Empower your agents to interact with financial resources dynamically and securely.,https://smithery.ai/server/@openMF/mcp-mifosx,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,OpenAI MCP Server,Query OpenAI models directly from Claude using the MCP protocol. Integrate with multiple models for enhanced responses.,https://smithery.ai/server/@thadius83/mcp-server-openai,Remote,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Explorium API,Interact seamlessly with the Explorium API to enhance your data capabilities. Leverage powerful tools and resources to streamline your data workflows and gain insights effortlessly. Start integrating with the Explorium API today to unlock new possibilities for your applications.,https://smithery.ai/server/@explorium-ai/mcp-explorium,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Azure Data Explorer Integration,Access your Azure Data Explorer clusters and databases through standardized interfaces. Execute KQL queries and explore your data effortlessly with AI assistants. Discover and interact with your database resources seamlessly.,https://smithery.ai/server/@pab1it0/adx-mcp-server,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,AI Project,Connect to OpenAI and enhance your applications with powerful AI capabilities. Leverage the latest in AI technology to build intelligent features and improve user experiences. Start integrating AI seamlessly into your projects today.,https://smithery.ai/server/@mostafamos/ai,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,TESS AI Integration Server,"Enable AI models to interact seamlessly with the TESS platform through structured commands. Manage agents, retrieve details, and execute tasks with custom parameters effortlessly. Enhance your AI capabilities by leveraging the TESS API for dynamic interactions.",https://smithery.ai/server/@diegofornalha/mcp-server-tess,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,MCP Server,Empower your AI assistants to safely utilize external tools like running Python code or accessing websites. Enhance their capabilities by processing data for better understanding and providing helpful error messages. Streamline your AI's problem-solving abilities with this versatile server.,https://smithery.ai/server/@tcpipuk/mcp-server,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,MCP Agent,Integrate and manage various data sources and tools seamlessly.,https://smithery.ai/server/@jameshung2015/mcp_agent,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,Eigen Model Context Protocol Server,Integrate and manipulate real-world data and tools seamlessly. Enhance your applications with dynamic context integration capabilities.,https://smithery.ai/server/@eigensource/eigenmcp,Local,
integrate applications with real-world data and diverse tools using Model Context Protocols for enhanced AI functionality,OpenRouter Client for Cursor,Connect to multiple AI models seamlessly and enhance your applications with advanced AI capabilities. Access a variety of models from different providers and leverage the power of the Model Context Protocol for efficient communication. Simplify your AI integration process and improve your productivity with this versatile client.,https://smithery.ai/server/@palolxx/openroutermcptest4,Local,
