search_query,name,description,url,type,usage_count
memory systems and memory extensions for agents,Resources,Building the operating system for AI,https://smithery.ai/,,
memory systems and memory extensions for agents,mem0 Memory System,"Enhance your AI applications with a flexible memory system that automatically extracts, stores, and retrieves user information. Integrate seamlessly with MCP-compatible applications or embed directly into your projects for personalized user experiences. Enjoy multi-provider support and customizable configurations to suit your needs.",https://smithery.ai/server/@pinkpixel-dev/mem0-mcp,Local,
memory systems and memory extensions for agents,Knowledge Graph Memory Server,Enable persistent memory for Claude using a local knowledge graph.,https://smithery.ai/server/@T1nker-1220/memories-with-lessons-mcp-server,Local,
memory systems and memory extensions for agents,Titan Memory Server,Implement a neural memory system that learns and predicts sequences while maintaining state through a memory vector.,https://smithery.ai/server/@synthience/mcp-titan-cognitive-memory,Local,
memory systems and memory extensions for agents,MemGPT,Implements a memory system for LLMs with tools for conversation and history retrieval.,https://smithery.ai/server/letta-memgpt,Local,
memory systems and memory extensions for agents,Memory Cache Server,Reduce token consumption by efficiently caching data between language model interactions. Automatically store and retrieve frequently accessed data to enhance performance without any extra effort from you. Experience faster responses and optimized resource usage with seamless caching integration.,https://smithery.ai/server/@ibproduct/ib-mcp-cache-server,Local,
memory systems and memory extensions for agents,Knowledge Graph Memory Server,Enable Claude to remember user information across chats using a local knowledge graph.,https://smithery.ai/server/@yodakeisuke/mcp-memory-domain-knowledge,Local,
memory systems and memory extensions for agents,Probable Octo Memory,Enhance your applications with intelligent memory capabilities. Store and retrieve contextual information seamlessly to improve user interactions and decision-making processes.,https://smithery.ai/server/@278533874/probable-octo-memory,Local,
memory systems and memory extensions for agents,Probable Octo Memory,Enhance your applications with intelligent memory capabilities. Store and retrieve contextual information seamlessly to improve user interactions and decision-making processes.,https://smithery.ai/server/@278533874/huihuijia,Local,
memory systems and memory extensions for agents,Memory Service,Provide semantic memory and persistent storage using ChromaDB.,https://smithery.ai/server/@doobidoo/mcp-memory-service,Local,
memory systems and memory extensions for agents,Memory Cache Server,Reduce token consumption by caching data between language model interactions. Automatically store and retrieve frequently accessed data for improved performance.,https://smithery.ai/server/@tosin2013/mcp-memory-cache-server,Local,
memory systems and memory extensions for agents,Memory Bank,Manage your project documentation and context seamlessly across sessions. Enhance your workflow with structured memory banks that maintain consistent knowledge and support multilingual documentation. Utilize a powerful API for efficient document management and retrieval.,https://smithery.ai/server/@t3ta/memory-bank-mcp-server,Local,
memory systems and memory extensions for agents,C.W.K. Pippa Memory Manager,"Manage and enhance your AI assistant's memory capabilities. Store, recall, and manage information seamlessly across conversations, making interactions more personalized and effective. Experience a user-friendly interface and robust memory management tailored for Cursor IDE.",https://smithery.ai/server/@neobundy/cwkCursorPippaMCP,Local,
memory systems and memory extensions for agents,IaC Memory Server,Enhance AI capabilities by providing persistent memory storage for Infrastructure-as-Code components.,https://smithery.ai/server/@AgentWong/iac-memory-mcp-server-project,Local,
memory systems and memory extensions for agents,Neo4j Knowledge Graph Memory Server,Store and retrieve information from AI interactions using a powerful Neo4j backend. Enhance your AI assistant's capabilities with advanced graph querying and memory management. Experience improved performance and scalability for complex knowledge graph applications.,https://smithery.ai/server/@JovanHsu/mcp-neo4j-memory-server,Local,
memory systems and memory extensions for agents,Titan Memory Server,"This tool is a cutting-edge memory engine that blends real-time learning, persistent three-tier context awareness, and seamless LLM integration to continuously evolve and enrich your AI’s intelligence.",https://smithery.ai/server/@henryhawke/mcp-titan,Remote,
memory systems and memory extensions for agents,Letta MCP Server,"Manage agents and memory blocks seamlessly within the Letta system. Create, list, and attach memory blocks to agents while sending messages and receiving responses effortlessly. Enhance your agent interactions with powerful tools designed for efficient management.",https://smithery.ai/server/@oculairmedia/Letta-MCP-server,Local,
memory systems and memory extensions for agents,Knowledge Graph Memory Server,Manage and enhance your interactions with a customizable knowledge graph. Capture and organize user interactions with timestamps for better context and history. Streamline your project-specific memory storage for improved data management.,https://smithery.ai/server/@BRO3886/mcp-memory-custom,Local,
memory systems and memory extensions for agents,Basic Memory,"Build persistent knowledge through natural conversations with LLMs while keeping everything in simple Markdown files. Enable your LLM to read and write to your local knowledge base, allowing for contextual awareness across sessions. Manage your knowledge graph effortlessly with a local-first approach that keeps your data under your control.",https://smithery.ai/server/@basicmachines-co/basic-memory,Local,
memory systems and memory extensions for agents,Memory Server,"Manage your knowledge graph effortlessly. Create, update, and query entities and their relationships with strict validation to ensure data consistency. Enhance your applications with a robust memory management system that supports complex queries and observations.",https://smithery.ai/server/@evangstav/python-memory-mcp-server,Local,
memory systems and memory extensions for agents,Knowledge Graph Memory,Leverage a scalable knowledge graph powered by Elasticsearch to enhance your Model Context Protocol applications. Easily manage and query vast amounts of data with advanced search capabilities and memory-like behavior. Streamline your data operations with complete CRUD support and efficient import/export tools.,https://smithery.ai/server/@j3k0/mcp-elastic-memory,Local,
memory systems and memory extensions for agents,Resources,Building the operating system for AI,https://smithery.ai/,,
memory systems and memory extensions for agents,Neo4j Graph Memory,Facilitate knowledge graph memory stored directly in Neo4j.,https://smithery.ai/server/@neo4j-contrib/mcp-neo4j-memory,Local,
memory systems and memory extensions for agents,Mem0 Coding Preferences Manager,"Manage your coding preferences efficiently with this server. Store, retrieve, and search coding snippets and patterns seamlessly, enhancing your development workflow. Connect easily with Cursor and leverage a persistent coding preferences system for better coding practices.",https://smithery.ai/server/@mem0ai/mem0-mcp,Local,
memory systems and memory extensions for agents,Memory Context Provider Server,Manage user contexts for LLM interactions seamlessly. Store and retrieve relevant context based on user prompts to enhance conversational continuity. Utilize a RESTful API for easy integration and context management.,https://smithery.ai/server/@Srish-ty/MCP-Testing-interface-for-LLMs,Local,
memory systems and memory extensions for agents,Dev Memory Server,Capture and organize your development context seamlessly across projects. Enhance your coding experience by automatically tracking code changes and user interactions. Focus on building while we manage your development memory.,https://smithery.ai/server/@TrackerXXX23/dev_memory_mcp,Local,
memory systems and memory extensions for agents,TxtAI Assistant,"Enhance your AI assistants with powerful semantic memory and search capabilities. Store, retrieve, and manage text-based memories seamlessly to improve context awareness during conversations. Leverage advanced features like tagging and health monitoring for optimal performance.",https://smithery.ai/server/@rmtech1/txtai-assistant-mcp,Local,
memory systems and memory extensions for agents,Memory Server with Qdrant Persistence,Enable knowledge graph capabilities with semantic search functionality.,https://smithery.ai/server/@delorenj/mcp-qdrant-memory,Remote,
memory systems and memory extensions for agents,MemoDB,"Manage your AI application's conversation context and personal knowledge base efficiently. Create, update, and query user data and knowledge seamlessly with a robust API. Enhance your AI interactions with structured knowledge management tools.",https://smithery.ai/server/@wuyunmei/momedb-mcp,Local,
memory systems and memory extensions for agents,Flexible Agents System,"Enhance your customer service and content creation with intelligent, AI-powered agents. Automate workflows, analyze data, and generate creative content seamlessly across multiple languages and formats.",https://smithery.ai/server/@DynamicEndpoints/flexable-agents,Local,
