Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Starwind UI MCP Server,"Enhance your development experience with Starwind UI by utilizing a dedicated server that provides tools for project initialization, component management, and documentation access. Streamline your workflow with features like package manager detection and LLM data fetching, all designed to integrate seamlessly with your AI assistants.","프로젝트 초기화, 구성 요소 관리 및 문서 액세스를 위한 도구를 제공하는 전용 서버를 활용하여 Starwind UI로 개발 경험을 향상시키세요. 패키지 관리자 감지 및 LLM 데이터 페칭과 같은 기능으로 워크플로를 간소화하세요. 이 모든 기능은 AI 어시스턴트와 완벽하게 통합되도록 설계되었습니다.",https://smithery.ai/server/@Boston343/starwind-ui-mcp,Remote,7.07k
,Sequential Thinking,An MCP server implementation that provides a tool for dynamic and reflective problem-solving through a structured thinking process.,구조화된 사고 과정을 통해 역동적이고 반성적인 문제 해결을 위한 도구를 제공하는 MCP 서버 구현입니다.,https://smithery.ai/server/@smithery-ai/server-sequential-thinking,Remote,681.30k
,Wolfram Alpha,Connect to Wolfram Alpha API for computational knowledge.,Wolfram Alpha API에 연결해 계산 지식을 얻으세요.,https://smithery.ai/server/mcp-wolfram-alpha,Remote,6.92k
,DeepView,Analyze large codebases efficiently using Gemini's extensive context window. Connect seamlessly with IDEs like Cursor and Windsurf to enhance your coding experience. Load your entire codebase from a single file and query it effortlessly.,Gemini의 광범위한 컨텍스트 창을 사용하여 대규모 코드베이스를 효율적으로 분석합니다. Cursor 및 Windsurf와 같은 IDE와 원활하게 연결하여 코딩 경험을 향상시킵니다. 단일 파일에서 전체 코드베이스를 로드하고 손쉽게 쿼리합니다.,https://smithery.ai/server/@ai-1st/deepview-mcp,Remote,6.72k
,Tavily MCP Server,Enable real-time web search and data extraction capabilities.,실시간 웹 검색 및 데이터 추출 기능을 활성화합니다.,https://smithery.ai/server/@tavily-ai/tavily-mcp,Remote,6.69k
,Lunchmoney MCP Server,Interact with your Lunchmoney transactions and budgets through AI assistants.,AI 조수를 통해 Lunchmoney 거래 및 예산을 처리하세요.,https://smithery.ai/server/@leafeye/lunchmoney-mcp-server,Remote,6.68k
,Zonos TTS Integration,Enable text-to-speech capabilities through Claude. Generate speech with support for multiple emotions and languages.,Claude를 통해 텍스트-음성 기능을 활성화합니다. 여러 감정과 언어를 지원하는 음성을 생성합니다.,https://smithery.ai/server/@PhialsBasement/zonos-tts-mcp,Remote,6.63k
,Hass-MCP,"Enable AI assistants to seamlessly interact with your Home Assistant setup. Control devices, query states, and automate tasks through guided conversations, enhancing your smart home experience. Simplify your automation management and troubleshooting with intelligent assistance.","AI 어시스턴트가 Home Assistant 설정과 원활하게 상호 작용할 수 있도록 합니다. 가이드 대화를 통해 기기를 제어하고, 상태를 쿼리하고, 작업을 자동화하여 스마트 홈 경험을 향상합니다. 지능형 지원으로 자동화 관리 및 문제 해결을 간소화합니다.",https://smithery.ai/server/@voska/hass-mcp,Remote,6.54k
,TaskManager,"Model Context Protocol server for Task Management, allowing Claude Desktop (or any MCP client) to manage and execute tasks in a queue-based system.","작업 관리를 위한 모델 컨텍스트 프로토콜 서버로, Claude Desktop(또는 모든 MCP 클라이언트)이 큐 기반 시스템에서 작업을 관리하고 실행할 수 있도록 해줍니다.",https://smithery.ai/server/@kazuph/mcp-taskmanager,Local,6.43k
,File System,"Manage and interact with file systems seamlessly. Access, read, and manipulate files with ease, enhancing your application's capabilities. Streamline your workflows by integrating file operations directly into your processes.","파일 시스템을 원활하게 관리하고 상호 작용합니다. 쉽게 파일에 액세스하고, 읽고, 조작하여 애플리케이션의 기능을 향상시킵니다. 파일 작업을 프로세스에 직접 통합하여 워크플로를 간소화합니다.",https://smithery.ai/server/@bunasQ/fs,Local,6.05k
,Perplexity Search,Enable AI assistants to perform web searches using Perplexity's Sonar Pro.,Perplexity의 Sonar Pro를 사용하여 AI 비서가 웹 검색을 수행하도록 하세요.,https://smithery.ai/server/@arjunkmrm/perplexity-search,Remote,51.59k
,YouTube Transcript Server,"Retrieve transcripts and subtitles from YouTube videos effortlessly. Analyze content with support for multiple languages and detailed metadata, enhancing your video processing workflows.",YouTube 비디오에서 대본과 자막을 손쉽게 검색하세요. 여러 언어와 자세한 메타데이터를 지원하여 콘텐츠를 분석하고 비디오 처리 워크플로를 개선하세요.,https://smithery.ai/server/@sinco-lab/mcp-youtube-transcript,Remote,5.94k
,Todoist-mcp-server-extended,"Integrate natural language task management with Todoist. Manage tasks, projects, and labels effortlessly using everyday language.","Todoist에 자연어 작업 관리를 통합하세요. 일상 언어를 사용하여 작업, 프로젝트 및 라벨을 손쉽게 관리하세요.",https://smithery.ai/server/@Chrusic/todoist-mcp-server-extended,Remote,5.93k
,Package Version,Provides the latest stable package versions from multiple registries for LLMs.,여러 LLM 레지스트리에서 최신 안정된 패키지 버전을 제공합니다.,https://smithery.ai/server/mcp-package-version,Remote,5.77k
,Claude Code MCP Server,"Leverage the power of Claude Code to enhance your coding experience. Execute commands, review, fix, and test your code seamlessly with this server. Simplify your development workflow by integrating advanced code capabilities directly into your applications.","Claude Code의 힘을 활용하여 코딩 경험을 향상시키세요. 이 서버로 명령을 실행하고, 코드를 검토하고, 수정하고, 테스트하세요. 고급 코드 기능을 애플리케이션에 직접 통합하여 개발 워크플로를 간소화하세요.",https://smithery.ai/server/@KunihiroS/claude-code-mcp-server,Local,5.77k
,Perplexity Deep Research,"Enable AI assistants to perform web searches using Perplexity's Deep Research. Note: depending on the client, you might run into connection timeout depending on how long it takes to get response from deep research API. I'm exploring workarounds for this.",AI 어시스턴트가 Perplexity의 Deep Research를 사용하여 웹 검색을 수행하도록 합니다. 참고: 클라이언트에 따라 deep research API에서 응답을 받는 데 걸리는 시간에 따라 연결 시간 초과가 발생할 수 있습니다. 이에 대한 해결 방법을 모색 중입니다.,https://smithery.ai/server/@arjunkmrm/perplexity-deep-research,Remote,5.74k
,Replicate Flux MCP,"Generate stunning images from text prompts using advanced AI models. Seamlessly integrate with your AI assistants to enhance their capabilities with high-quality image generation. Enjoy customizable parameters for tailored outputs, all processed securely and locally.",고급 AI 모델을 사용하여 텍스트 프롬프트에서 놀라운 이미지를 생성합니다. 고품질 이미지 생성으로 AI 어시스턴트와 원활하게 통합하여 기능을 향상시킵니다. 모든 것이 안전하고 로컬에서 처리되는 맞춤형 출력을 위한 사용자 정의 가능한 매개변수를 즐기십시오.,https://smithery.ai/server/@awkoy/replicate-flux-mcp,Remote,5.66k
,n8n Workflow Builder,Create and manage n8n workflows programmatically.,프로그래밍 방식으로 n8n 워크플로를 만들고 관리합니다.,https://smithery.ai/server/@Jimmy974/n8n-workflow-builder,Remote,5.63k
,Graphlit,"Integrate MCP clients with the Graphlit service.
 

 Ingest anything from Slack to Gmail to podcast feeds, in addition to web crawling, into a Graphlit project - and then retrieve relevant contents from the MCP client.","MCP 클라이언트를 Graphlit 서비스와 통합합니다.

웹 크롤링 외에도 Slack에서 Gmail, 팟캐스트 피드에 이르기까지 모든 것을 Graphlit 프로젝트로 수집한 다음 MCP 클라이언트에서 관련 콘텐츠를 검색합니다.",https://smithery.ai/server/@graphlit/graphlit-mcp-server,Remote,5.56k
,Trello Server,"Interact with Trello boards and manage cards, lists, and activities.","Trello 보드와 상호 작용하여 카드, 목록, 활동을 관리합니다.",https://smithery.ai/server/@delorenj/trello,Remote,5.18k
,Figma MCP Server,"Interact seamlessly with the Figma API to manage files, comments, components, and more. Leverage a comprehensive set of tools to enhance your design workflow and automate tasks within Figma. Simplify your design processes and integrate Figma capabilities into your applications effortlessly.","Figma API와 원활하게 상호 작용하여 파일, 주석, 구성 요소 등을 관리합니다. 포괄적인 도구 세트를 활용하여 디자인 워크플로를 개선하고 Figma 내에서 작업을 자동화합니다. 디자인 프로세스를 간소화하고 Figma 기능을 애플리케이션에 손쉽게 통합합니다.",https://smithery.ai/server/@thirdstrandstudio/mcp-figma,Remote,5.13k
,Knowledge Graph Memory Server,"Enable your agents to remember user information across chats by utilizing a local knowledge graph. Enhance interactions by creating, updating, and retrieving personalized memories seamlessly. Experience a more engaging and tailored conversation with your AI assistant.","로컬 지식 그래프를 활용하여 에이전트가 채팅에서 사용자 정보를 기억할 수 있도록 하세요. 개인화된 기억을 원활하게 만들고, 업데이트하고, 검색하여 상호 작용을 강화하세요. AI 어시스턴트와 더욱 매력적이고 맞춤화된 대화를 경험하세요.",https://smithery.ai/server/@jlia0/servers,Local,5.10k
,Fetch,A simple tool that performs a fetch request to a webpage.,웹 페이지에 대한 가져오기 요청을 수행하는 간단한 도구입니다.,https://smithery.ai/server/@smithery-ai/fetch,Remote,48.07k
,Browserbase,"Provides cloud browser automation capabilities using Browserbase, enabling LLMs to interact with web pages, take screenshots, and execute JavaScript in a cloud browser environment.","Browserbase를 사용하여 클라우드 브라우저 자동화 기능을 제공하므로 LLM이 클라우드 브라우저 환경에서 웹 페이지와 상호 작용하고, 스크린샷을 찍고, JavaScript를 실행할 수 있습니다.",https://smithery.ai/server/@browserbasehq/mcp-browserbase,Remote,47.90k
,VeyraX MCP,"Single MCP tool to connect 70+ tools: Gmail, Calendar and 40 more.","Gmail, 캘린더 등 40개 이상의 도구를 연결하는 단일 MCP 도구입니다.",https://smithery.ai/server/@VeyraX/veyrax-mcp,Remote,45.11k
,Game Engine Server,"Provide tools for game development and enhance sequential thinking. Access game assets, templates, and code generation to streamline your game projects. Break down complex problems and dynamically adjust your thought processes for effective problem-solving.","게임 개발을 위한 도구를 제공하고 순차적 사고를 강화합니다. 게임 자산, 템플릿 및 코드 생성에 액세스하여 게임 프로젝트를 간소화합니다. 복잡한 문제를 분해하고 효과적인 문제 해결을 위해 사고 프로세스를 동적으로 조정합니다.",https://smithery.ai/server/@mahecode/game-engine-mcp,Remote,4.91k
,Mixpanel Integration,"Talk to your Mixpanel analytics events data seamlessly! Query retention number, event data, funnels and more from any MCP client. Great for on-demand look ups like: ""What's the weekly retention for users in the Feb 1 cohort?""
 

 I am adding more coverage of the Mixpanel API over time, let me know which tools you need or just open a PR.
 

 Make sure you go to your Mixpanel Organization Settings and create a service account. Then get your project ID from your project settings.","Mixpanel 분석 이벤트 데이터와 원활하게 소통하세요! 모든 MCP 클라이언트에서 유지율, 이벤트 데이터, 퍼널 등을 쿼리하세요. ""2월 1일 코호트 사용자의 주간 유지율은 얼마인가?""와 같은 주문형 조회에 적합합니다.

시간이 지남에 따라 Mixpanel API에 대한 적용 범위를 더 넓히고 있습니다. 필요한 도구를 알려주시거나 PR을 개설하세요.

Mixpanel 조직 설정으로 이동하여 서비스 계정을 만드세요. 그런 다음 프로젝트 설정에서 프로젝트 ID를 가져오세요.",https://smithery.ai/server/@dragonkhoi/mixpanel-mcp,Remote,4.79k
,PostgreSQL Database Management Server,"Analyze, manage, and optimize your PostgreSQL databases effortlessly. Streamline your database operations with powerful tools for debugging, schema management, and data migration. Enhance performance monitoring and ensure your database runs smoothly with real-time insights and recommendations.","PostgreSQL 데이터베이스를 손쉽게 분석, 관리 및 최적화하세요. 디버깅, 스키마 관리 및 데이터 마이그레이션을 위한 강력한 도구로 데이터베이스 운영을 간소화하세요. 실시간 통찰력과 권장 사항을 통해 성능 모니터링을 강화하고 데이터베이스가 원활하게 실행되도록 하세요.",https://smithery.ai/server/@HenkDz/postgresql-mcp-server,Remote,4.69k
,OpenRouter MCP Server,"A Model Context Protocol (MCP) server for integration with OpenRouter.ai, allowing access to various AI models through a unified interface.","OpenRouter.ai와 통합하기 위한 MCP(Model Context Protocol) 서버로, 통합된 인터페이스를 통해 다양한 AI 모델에 액세스할 수 있습니다.",https://smithery.ai/server/@mcpserver/openrouterai,Remote,4.68k
,Weather,Provide real-time weather information and forecasts to your applications. Integrate weather data seamlessly to enhance user experiences and decision-making. Access accurate and up-to-date weather insights effortlessly.,실시간 날씨 정보와 예보를 애플리케이션에 제공합니다. 날씨 데이터를 원활하게 통합하여 사용자 경험과 의사 결정을 향상시킵니다. 정확하고 최신 날씨 통찰력을 손쉽게 액세스합니다.,https://smithery.ai/server/@turkyden/weather,Remote,4.66k
,Supabase Server,An MCP server providing access to the Supabase Management API for managing Supabase projects and organizations.,Supabase 프로젝트와 조직을 관리하기 위한 Supabase 관리 API에 대한 액세스를 제공하는 MCP 서버입니다.,https://smithery.ai/server/@joshuarileydev/supabase-mcp-server,Remote,4.54k
,YouTube MCP Server,"Interact with YouTube content seamlessly. Retrieve video details, manage captions, and analyze trends to enhance your AI's capabilities. Leverage the YouTube Data API for rich, real-time insights.","YouTube 콘텐츠와 원활하게 상호 작용합니다. 비디오 세부 정보를 검색하고, 자막을 관리하고, 추세를 분석하여 AI의 기능을 향상합니다. 풍부하고 실시간적인 통찰력을 위해 YouTube Data API를 활용합니다.",https://smithery.ai/server/@icraft2170/youtube-data-mcp-server,Remote,4.31k
,Tavily,An MCP server for Tavily's search API providing AI-powered web search capabilities.,AI 기반 웹 검색 기능을 제공하는 Tavily의 검색 API를 위한 MCP 서버입니다.,https://smithery.ai/server/mcp-tavily,Remote,4.25k
,Multi Fetch MCP Server,"Fetch web content in various formats and modes, seamlessly integrating with AI assistants like Claude. Utilize intelligent scraping techniques to retrieve HTML, JSON, and more, while enjoying bilingual support for English and Chinese.","다양한 형식과 모드로 웹 콘텐츠를 가져오고, Claude와 같은 AI 어시스턴트와 원활하게 통합합니다. 지능형 스크래핑 기술을 활용하여 HTML, JSON 등을 검색하고, 영어와 중국어에 대한 이중 언어 지원을 즐기세요.",https://smithery.ai/server/@lmcc-dev/mult-fetch-mcp-server,Local,4.13k
,Jina AI,"Provides access to Jina AI's web services through Claude, including web page reading, web search, and fact checking.","Claude를 통해 웹 페이지 읽기, 웹 검색, 사실 확인 등 Jina AI의 웹 서비스에 대한 액세스를 제공합니다.",https://smithery.ai/server/jina-ai-mcp-server,Remote,4.04k
,Desktop Commander,"Execute terminal commands and manage files with diff editing capabilities. Coding, shell and terminal, task automation","터미널 명령을 실행하고 diff 편집 기능으로 파일을 관리합니다. 코딩, 셸 및 터미널, 작업 자동화",https://smithery.ai/server/@wonderwhy-er/desktop-commander,Local,331.87k
,Fetch Server,"Fetch web content in various formats like HTML, JSON, plain text, and Markdown. Easily retrieve and transform online data with custom headers for your applications. Streamline your content fetching process with a simple and efficient server setup.","HTML, JSON, 일반 텍스트, 마크다운과 같은 다양한 형식으로 웹 콘텐츠를 가져옵니다. 애플리케이션을 위한 사용자 정의 헤더로 온라인 데이터를 쉽게 검색하고 변환합니다. 간단하고 효율적인 서버 설정으로 콘텐츠 페칭 프로세스를 간소화합니다.",https://smithery.ai/server/@goswamig/fetch-mcp,Remote,3.98k
,Docx Document Processing Service,"Create, edit, and manage Word documents effortlessly using AI assistants. Streamline your document operations with natural language commands for a seamless editing experience. Enhance your productivity with powerful formatting, table processing, and layout control features.","AI 어시스턴트를 사용하여 Word 문서를 손쉽게 만들고, 편집하고, 관리하세요. 자연어 명령으로 문서 작업을 간소화하여 매끄러운 편집 환경을 만드세요. 강력한 서식, 표 처리 및 레이아웃 제어 기능으로 생산성을 높이세요.",https://smithery.ai/server/@MeterLong/mcp-doc,Local,3.93k
,MCP Server Starter,Build a robust server to enable AI agents to interact with various tools.,AI 에이전트가 다양한 도구와 상호작용할 수 있도록 강력한 서버를 구축합니다.,https://smithery.ai/server/@TheSethRose/mcp-server-starter,Remote,3.79k
,Notion MCP Server,"Integrate your AI assistants with Notion's API to create, update, and manage pages and blocks effortlessly. Streamline your workflow by enabling your AI to interact with Notion databases and perform batch operations. Enhance your productivity with powerful tools designed for seamless Notion integration.","AI 어시스턴트를 Notion의 API와 통합하여 페이지와 블록을 손쉽게 만들고, 업데이트하고, 관리하세요. AI가 Notion 데이터베이스와 상호 작용하고 일괄 작업을 수행할 수 있도록 하여 워크플로를 간소화하세요. 원활한 Notion 통합을 위해 설계된 강력한 도구로 생산성을 높이세요.",https://smithery.ai/server/@awkoy/notion-mcp-server,Remote,3.73k
,Feishu(飞书) Integration Server,"Access and manage Feishu(飞书) documents seamlessly with your AI tools. Create, modify, and extract content from Feishu documents to enhance your coding experience and improve efficiency. Leverage the power of AI to interact with your documents in a more intuitive way.","AI 도구로 Feishu(飞书) 문서에 원활하게 액세스하고 관리하세요. Feishu 문서에서 콘텐츠를 만들고, 수정하고, 추출하여 코딩 경험을 향상시키고 효율성을 개선하세요. AI의 힘을 활용하여 보다 직관적인 방식으로 문서와 상호 작용하세요.",https://smithery.ai/server/@cso1z/feishu-mcp,Remote,3.69k
,HotNews Server,A Model Context Protocol server that provides real-time hot trending topics from major Chinese social platforms and news sites.,주요 중국 소셜 플랫폼과 뉴스 사이트의 실시간 인기 트렌드 주제를 제공하는 모델 컨텍스트 프로토콜 서버입니다.,https://smithery.ai/server/@wopal/mcp-server-hotnews,Remote,3.62k
,Persistent Knowledge Graph,Enable Claude/Cursor or other AI Tools with MCP Support to remember user information across chats using a local knowledge graph.,로컬 지식 그래프를 사용하여 채팅 전반에서 사용자 정보를 기억할 수 있도록 MCP 지원 기능이 있는 Claude/Cursor 또는 기타 AI 도구를 활성화합니다.,https://smithery.ai/server/@itseasy21/mcp-knowledge-graph,Local,3.58k
,UnityMCP,"Integrate AI assistants seamlessly into your Unity projects. Monitor editor states, execute commands in real-time, and manage logs efficiently to enhance your development workflow.","AI 어시스턴트를 Unity 프로젝트에 원활하게 통합하세요. 편집기 상태를 모니터링하고, 실시간으로 명령을 실행하고, 로그를 효율적으로 관리하여 개발 워크플로를 개선하세요.",https://smithery.ai/server/@Arodoid/unitymcp,Local,3.57k
,Airtable Server,"An Airtable Model Context Protocol Server enabling programmatic management of Airtable bases, tables, fields, and records.","Airtable 기반, 테이블, 필드 및 레코드의 프로그래밍 방식 관리를 가능하게 하는 Airtable 모델 컨텍스트 프로토콜 서버입니다.",https://smithery.ai/server/airtable-server,Remote,3.51k
,Pandoc Document Conversion,A Model Context Protocol server for document format conversion using pandoc.,pandoc을 사용한 문서 형식 변환을 위한 모델 컨텍스트 프로토콜 서버입니다.,https://smithery.ai/server/mcp-pandoc,Remote,3.47k
,Linear MCP Server,"Connect Claude to Linear project management systems. Retrieve, create, and manage issues and projects seamlessly.","Claude를 Linear 프로젝트 관리 시스템에 연결합니다. 이슈와 프로젝트를 원활하게 검색, 생성 및 관리합니다.",https://smithery.ai/server/@emmett-deen/linear-mcp-server,Remote,3.47k
,Serper Search and Scrape,"A TypeScript-based MCP server that provides web search and webpage scraping capabilities using the Serper API. This server integrates with Cursor, Cline, Claude Desktop, and any MCP-compatible client to enable powerful web search and content extraction features in one convenient package.","Serper API를 사용하여 웹 검색 및 웹페이지 스크래핑 기능을 제공하는 TypeScript 기반 MCP 서버입니다. 이 서버는 Cursor, Cline, Claude Desktop 및 모든 MCP 호환 클라이언트와 통합되어 강력한 웹 검색 및 콘텐츠 추출 기능을 하나의 편리한 패키지로 제공합니다.",https://smithery.ai/server/@marcopesani/mcp-server-serper,Remote,3.38k
,Onyx MCP Server,"Connect your MCP-compatible clients to Onyx AI knowledge bases for enhanced semantic search and chat capabilities. Retrieve relevant context from your documents seamlessly, enabling powerful interactions and comprehensive answers. Streamline knowledge management and improve access to information across your organization.",MCP 호환 클라이언트를 Onyx AI 지식 기반에 연결하여 향상된 의미 검색 및 채팅 기능을 활용하세요. 문서에서 관련 컨텍스트를 원활하게 검색하여 강력한 상호 작용과 포괄적인 답변을 활용하세요. 조직 전체에서 지식 관리를 간소화하고 정보에 대한 접근성을 개선하세요.,https://smithery.ai/server/@lupuletic/onyx-mcp-server,Remote,3.20k
,Web Research Server,"Integrate real-time web research capabilities into your workflow. Conduct thorough research with tools for searching, content extraction, and session tracking.","실시간 웹 리서치 기능을 워크플로에 통합합니다. 검색, 콘텐츠 추출 및 세션 추적을 위한 도구로 철저한 리서치를 수행합니다.",https://smithery.ai/server/@chuanmingliu/mcp-webresearch,Remote,3.13k
,Neon Database,"Control Neon serverless Postgres databases using natural language. Create and manage databases, run SQL queries, handle migrations, and manage projects.","자연어를 사용하여 Neon 서버리스 Postgres 데이터베이스를 제어합니다. 데이터베이스를 만들고 관리하고, SQL 쿼리를 실행하고, 마이그레이션을 처리하고, 프로젝트를 관리합니다.",https://smithery.ai/server/neon,Remote,28.78k
,Supabase MCP Server,Let Cursor & Windsurf manage your Supabase and run SQL queries. Autonomously. In a safe way.,Cursor & Windsurf가 Supabase를 관리하고 SQL 쿼리를 실행하게 하세요. 자율적으로. 안전한 방식으로.,https://smithery.ai/server/@alexander-zuev/supabase-mcp-server,Remote,27.01k
,Exa Search,"Fast, intelligent web search and crawling.
 

 Exa combines embeddings and traditional search to deliver the best results for LLMs.","빠르고 지능적인 웹 검색 및 크롤링.

Exa는 임베딩과 기존 검색을 결합하여 LLM에게 최상의 결과를 제공합니다.",https://smithery.ai/server/exa,Remote,26.14k
,Github,"Access the GitHub API, enabling file operations, repository management, search functionality, and more.","GitHub API에 액세스하여 파일 작업, 저장소 관리, 검색 기능 등을 사용할 수 있습니다.",https://smithery.ai/server/@smithery-ai/github,Remote,229.15k
